"","Adipocytes","Astrocytes","B_cells","Cardiomyocytes","Dendritic_cells","Endothelial_cells","Epithelial_cells","Erythrocytes","Fibroblasts","Granulocytes","Hepatocytes","Macrophages","Microglia","Monocytes","Neurons","NK_cells","Oligodendrocytes","T_cells"
"892","Mpeg1",NA,"Ubb",NA,"Ltbp3","Kif26a",NA,NA,"Cand2","Hjurp",NA,"Tmem37","Sh2b3","Mpg",NA,"Nsa2",NA,"Cnot6l"
"893","Sqrdl",NA,"Pim1",NA,"Tbkbp1","Rpl27",NA,NA,"Dnajc25","Trib1",NA,"Adssl1","Plk3","Cfb",NA,"Slc14a1",NA,"Fam71b"
"894","Adamts15",NA,"Cdt1",NA,"Crot","4930503l19rik",NA,NA,"Ehbp1l1","Kcnab2",NA,"Eif3e","B3galt5","Pycrl",NA,"Riok1",NA,"Fau"
"895","Arhgap5",NA,"Lpcat1",NA,"Arhgef10l","Far1",NA,NA,"Grem1","Ptprcap",NA,"Ext1","Egr1","Txnip",NA,"Evi2b",NA,"Romo1"
"896","Gpr176",NA,"Tspan17",NA,"Birc3","Filip1",NA,NA,"Itm2a","Raly",NA,"Mmp9","Phka1","Cfh",NA,"Cym",NA,"Rpl10a"
"897","F13a1",NA,"Gm5424",NA,"Ctsz","Inpp5d",NA,NA,"Layn","Cd19",NA,"Evl","Stx16","Hlx",NA,"Zc3hav1",NA,"Atp5e"
"898","Nme2",NA,"Hepacam2",NA,"Gm11428","Mfge8",NA,NA,"Stard13","Csk",NA,"Pla2g15","Arap1","Iqgap1",NA,"Mnda",NA,"Paqr7"
"899","Psmb8",NA,"Rnpepl1",NA,"Hip1r","Rpl9",NA,NA,"Zc3hav1","Scamp1",NA,"Snrpf","Fam49b","Use1",NA,"Pbx3",NA,"Ppp6r1"
"900","Ric3",NA,"1700048o20rik",NA,"Trim44","Clic4",NA,NA,"Prkca","Tspan2",NA,"Rps6ka1","Mll3","Capza2",NA,"Rab8b",NA,"Prf1"
"901","Tgfb3",NA,"Ccdc142",NA,"Doc2a","Rhoa",NA,NA,"Rplp1","Prr13",NA,"Spred1","Slc25a23","Pepd",NA,"Frg1",NA,"4930486l24rik"
"902","Arhgef17",NA,"Ccdc123",NA,"Klhl6","Stard8",NA,NA,"1110038b12rik","Tex15",NA,"Chtf8","2810055g20rik","Mcee",NA,"Zcrb1",NA,"Phgdh"
"903","Ehbp1l1",NA,"Prmt1",NA,"Slc30a4","Ttc39b",NA,NA,"Nynrin","Lpar2",NA,"Hopx","Loxl3","Cyp39a1",NA,"Mllt6",NA,"Plscr3"
"904","Hyou1",NA,"Wdr43",NA,"Cd96","Armcx2",NA,NA,"Prex2","Cxcr1",NA,"Rassf2","Prdm1","Il18",NA,"Top1",NA,"Acot7"
"905","Myo10",NA,"Fam46a",NA,"Pde2a","Ai467606",NA,NA,"Rpl7","Cib2",NA,"Wls","Cxcl16","Lbh",NA,"Ttc39c",NA,"Gnai3"
"906","Asph",NA,"Nrm",NA,"Tubb6","Ccdc141",NA,NA,"Slc7a2","Depdc1b",NA,"Zfp318","Crybg3","Lsm4",NA,"Ai848100",NA,"Hn1"
"907","Ndufb9",NA,"Snrpb",NA,"Adap1","Flnb",NA,NA,"Arhgap24","Abr",NA,"Ldlr","Pkd2","Sigmar1",NA,"Armcx2",NA,"Nfatc3"
"908","Scpep1",NA,"Zfml",NA,"Atp6v0a1","Zdhhc20",NA,NA,"Arhgap42","Add3",NA,"Slc6a6","Pot1b","H2-t10",NA,"Card6",NA,"Pitpnc1"
"909","Cdk14",NA,"Lrch4-sap25",NA,"Cd200r1","Arhgap5",NA,NA,"Dync1h1","Ptpn7",NA,"Srek1ip1","Arid5b","Npc2",NA,"Ccdc59",NA,"Xlr4c"
"910","Etfa",NA,"Pa2g4",NA,"Gimap5","Fam60a",NA,NA,"Ldha","Usp46",NA,"Aim2","Ccdc22","Pigt",NA,"Sertad2",NA,"Esyt2"
"911","Rps14",NA,"Lrrc68",NA,"Msmp","Agmo",NA,NA,"Tmem63a","Lmo2",NA,"Lrrfip1","Pcdhga10","Ptpn1",NA,"Abcg2",NA,"Cd72"
"912","Sdha",NA,"Rpl22",NA,"Cd244","Lmna",NA,NA,"Aw555464","Ube2h",NA,"Nck2","Ttc7","Eif4ebp1",NA,"Dhrs3",NA,"Crtam"
"913","4930471i20rik",NA,"Fes",NA,"Glipr1","Palm",NA,NA,"Nid2","I830077j02rik",NA,"Stard8","Acsl5","Rp9",NA,"Rpl32",NA,"Itprip"
"914","Hspb1",NA,"Krba1",NA,"Pear1","Arpc1b",NA,NA,"Rps7","Parp10",NA,"Cap1","App","Ckb",NA,"Rps6ka1",NA,"Penk"
"915","Tap2",NA,"Tmem161b",NA,"Ptpn4","Dock4",NA,NA,"Sh3rf3","Rgs18",NA,"Dock1","Def6","Ict1",NA,"Rtf1",NA,"Rassf2"
"916","Fam195a",NA,"Rps3",NA,"Il1r2","Hmgn3",NA,NA,"Wwc2",NA,NA,"Gm6788","Elk3","Mobkl2b",NA,"Agtrap",NA,"Dkc1"
"917","Hspb7",NA,"Zfp821",NA,"Kpna2","Xdh",NA,NA,"Fosl1",NA,NA,"Hspa9","Gpr157","Retnlg",NA,"Dtx3l",NA,"Rnf114"
"918","Itga6",NA,"Lifr",NA,"Lnpep","Tcf7l2",NA,NA,"Nr4a2",NA,NA,"Tap1","Kalrn","Sh3bp2",NA,"Lime1",NA,"Slc9a9"
"919","Nfatc4",NA,"Mterfd3",NA,"Sh3kbp1","Tes",NA,NA,"Fam176b",NA,NA,"Abca3","Ly9","Kifc3",NA,"Lmbrd2",NA,"Utrn"
"920","Tap1",NA,"Slc2a3",NA,"Cmtm7","Adm",NA,NA,"Sh3d19",NA,NA,"Af251705","Phxr4","Mocos",NA,"Mpp6",NA,"Ms4a4c"
"921","Adam19",NA,"Tnrc6b",NA,"Kynu","Nod1",NA,NA,"Tnfrsf26",NA,NA,"Cxcl14","Ralgps2","Ampd3",NA,"Gpr25",NA,"Rcn1"
"922","Cox7a2",NA,"Trim44",NA,"Lgmn","Rpl18",NA,NA,"Nqo1",NA,NA,"Cisd1","Slc12a2","Ndufa1",NA,"Rad50",NA,"Ski"
"923","Tnks1bp1",NA,"Diras2",NA,"Rab8b","Tmem59",NA,NA,"Rps27l",NA,NA,"Cdc42ep3","Zfp719","Tap2",NA,"Rps3",NA,"Bcl3"
"924","Tpcn2",NA,"St3gal1",NA,"Cx3cr1","Atp2a3",NA,NA,"S1pr3",NA,NA,"Dock6","Cd83","Tpm4",NA,"2010107e04rik",NA,"Lag3"
"925","Map4k3",NA,"Bc051142",NA,"Marcksl1","Fam65a",NA,NA,"Txnrd1",NA,NA,"Tmx3","Nlrp1a","Cdk4",NA,"Atp8a1",NA,"Sall2"
"926","Serp1",NA,"Cyp39a1",NA,"Ezr","Gapdh",NA,NA,"Cstb",NA,NA,"Zfp111","Slamf9","Runx1",NA,"Cebpb",NA,"Cxcr5"
"927","Emilin2",NA,"Gcnt1",NA,"F2r","Nipsnap3b",NA,NA,"Sept5",NA,NA,"Ap1s1","Nfat5","Anapc13",NA,"Gabbr1",NA,"Hs3st3b1"
"928","Tnk2",NA,"Gltscr1",NA,"Fnip2","Nr3c1",NA,NA,"Ankrd52",NA,NA,"Birc3","Smad3","Aplnr",NA,"Fam117a",NA,"Hspe1"
"929","Acat2",NA,"Iars",NA,"Gnai3","Slc30a1",NA,NA,"Ngfrap1",NA,NA,"Dhx37","Pvrl4","Arl4c",NA,"Rsl1d1",NA,"Cbx4"
"930","Ifngr1",NA,"Lef1",NA,"Hopx","Kcnq1",NA,NA,"Plod1",NA,NA,"Itgb3","Rbm33","Gmip",NA,"Eya1",NA,"Exosc8"
"931","Orf61",NA,"Pxk",NA,"Alas1","Sema7a",NA,NA,"Sertad2",NA,NA,"Vwa5a","Slc5a2","Orai1",NA,"Lpp",NA,"Gbp9"
"932","Rgl1",NA,"Runx1",NA,"Cdkn1a","Vkorc1",NA,NA,"Dzip1",NA,NA,"Alox15","Zfp658","Wdfy4",NA,"Nemf",NA,"Hsph1"
"933","Sipa1l1",NA,"A630033h20rik",NA,"Rhof","Tmem44",NA,NA,"Lamp2",NA,NA,"Apoc1","Abcg1","Bola2",NA,"Nr1d2",NA,"Mrpl53"
"934","Srpx2",NA,"Atp8b2",NA,"Sept5","Arhgef3",NA,NA,"Cdc42ep3",NA,NA,"Casp1","Apoe","Cic",NA,"Rpl6",NA,"Srebf1"
"935","Cox5b",NA,"Gcn1l1",NA,"Cd72","Ddx60",NA,NA,"Ipo7",NA,NA,"Erc1","Cybb","Inpp5f",NA,"2610015p09rik",NA,"2410004n09rik"
"936","Atp5a1",NA,"Lmbr1l",NA,"Clec10a","Iqcg",NA,NA,"Rab11fip5",NA,NA,"Egr1","Fat1","Rps27a",NA,"Mbnl1",NA,"5830416p10rik"
"937","Cmklr1",NA,"Il6ra",NA,"Dennd3","Cdh13",NA,NA,"Rest",NA,NA,"Unc13d","Arid3b","Sac3d1",NA,"Otud7b",NA,"Atp11a"
"938","Dock1",NA,"Paics",NA,"Plekha5","Eif1",NA,NA,"Sorbs3",NA,NA,"Zrsr2","Clcn6","Plp2",NA,"Gpr114",NA,"Ndufa13"
"939","Dusp4",NA,"Snx2",NA,"Spib","Rgnef",NA,NA,"Bcl6",NA,NA,"Sqrdl","I830077j02rik","Trmt1",NA,"Pld1",NA,"Ankrd10"
"940","Dysf",NA,"Fgd3",NA,"Dgka","Unc5b",NA,NA,"Jag1",NA,NA,"Lbh","Ifngr1","Ypel3",NA,"Zcchc10",NA,"Crim1"
"941","Gm9899",NA,"Nfya",NA,"Npm1","Lrrk1",NA,NA,"Ptprm",NA,NA,"Tanc1","2310014h01rik","Hadh",NA,"Mphosph9",NA,"Csrnp1"
"942","Gp49a",NA,"Notch2",NA,"Unkl","Nipsnap1",NA,NA,"Snx33",NA,NA,"Xpa","Gm608","Ticam2",NA,"Pde7a",NA,"Ddr1"
"943","Ppa1",NA,"Nup93",NA,"Arpc3","Rpl17",NA,NA,"Nlgn2",NA,NA,"Acp2","Ythdf3","Tnfsf14",NA,"Rpl23",NA,"Eif4ebp2"
"944","Lonp1",NA,"Otub2",NA,"Anxa11","Spna2",NA,NA,"Reck",NA,NA,"Ccdc55","F630110n24rik","4930523c07rik",NA,"Frmd4b",NA,"Npm3-ps1"
"945","Phldb2",NA,"Cbx6",NA,"Man2b2","Gt(rosa)26sor",NA,NA,"Uaca",NA,NA,"Csk","Nfatc1","Atp5h",NA,"Rps15a",NA,"Sbk1"
"946","Ecm1",NA,"Sh3bp2",NA,"Scarb1","Arhgap25",NA,NA,"Pde10a",NA,NA,"Ets1","Ninl","Esyt1",NA,"Csk",NA,"4930417o13rik"
"947","Gm6484",NA,"Ass1",NA,"Spred2","Gch1",NA,NA,"Slc1a5",NA,NA,"Kctd12b","C920021l13rik","Fbl",NA,"Cwf19l2",NA,"Aldh18a1"
"948","Rnf144a",NA,"Cbfb",NA,"Tlr4","Ifit2",NA,NA,"Filip1l",NA,NA,"Rilpl2","Cln3","Nadk",NA,"Kcnk5",NA,"Gm10345"
"949","Pcdh7",NA,"Celf1",NA,"Ppm1j","Serpinb1a",NA,NA,"Fkbp7",NA,NA,"Casp8","Dusp6","Acvrl1",NA,"Naip5",NA,"Gm11517"
"950","Nr1h3",NA,"Rpl35",NA,"Irak3","X99384",NA,NA,"Ror2",NA,NA,"Gm4951","Snx30","Gsk3a",NA,"Phlda1",NA,"Rnf123"
"951","Rab32",NA,"Ehd3",NA,"Cblb","Ccnd2",NA,NA,"Arhgap5",NA,NA,"Hvcn1","1300001i01rik","Hspa1b",NA,"Rpl13a",NA,"Sp100"
"952","Rps5",NA,"Rps14",NA,"Fam49a","Gsdmd",NA,NA,"Cdh3",NA,NA,"Man1c1","Gramd1a","Atrnl1",NA,"4932438a13rik",NA,"Plac8"
"953","Sdc1",NA,"Cenpa",NA,"Gcnt2","Ifit3",NA,NA,"Eif3h",NA,NA,"Sbno2","Mrc2","Mx2",NA,"Naa15",NA,"Rpl10"
"954","Stat6",NA,"Epb4.1l2",NA,"Mtap4","Pvrl2",NA,NA,"Eln",NA,NA,"Cd38","Tcn2","Ndufb6",NA,"Dnajc2",NA,"Shmt1"
"955","2310001a20rik",NA,"Kcnc3",NA,"Rasgrp4","Slc46a3",NA,NA,"Rnf150",NA,NA,"Maml2","Zdhhc14","Arpc2",NA,"Nfkbia",NA,"Tcof1"
"956","Chtf8",NA,"Xrcc5",NA,"Slc6a12","Tomm7",NA,NA,"St3gal1",NA,NA,"P2rx4","Myo1e","Celf2",NA,"Crot",NA,"Zfp36l1"
"957","Gale",NA,"Hook1",NA,"Abca3","Anxa5",NA,NA,"Hip1",NA,NA,"Parp14","Oxct1","Lamp1",NA,"Hoxb4",NA,"Actn2"
"958","Gas1",NA,"Ldoc1l",NA,"Cast","Cngb1",NA,NA,"Sgce",NA,NA,"4933407c03rik","Usp12","Plin2",NA,"Smpdl3a",NA,"Cfl1"
"959","Myof",NA,"Parp14",NA,"Spint2","C1galt1c1",NA,NA,"Ccl11",NA,NA,"Dab2ip","Nid2","A930013f10rik",NA,"Dpysl2",NA,"S100a6"
"960","Prdx3",NA,"Pkn1",NA,"Hip1","Ccnyl1",NA,NA,"Lphn1",NA,NA,"Rnf149","Pde1b","Hcfc1r1",NA,"March8",NA,"Tnfaip8"
"961","C030046e11rik",NA,"A430084p05rik",NA,"Rasgrp2","Rps8",NA,NA,"Rps14",NA,NA,"Lrrcc1","Tesk1","Bcl6",NA,"Ctbp2",NA,"Cd160"
"962","Tshz2",NA,"Arpc5l",NA,"Fyn","Tead1",NA,NA,"2310021p13rik",NA,NA,"Nucb2","Clic1","Ceacam19",NA,"Kdm5a",NA,"H2-aa"
"963","Zwilch",NA,"Ckap4",NA,"Il6ra","Nde1",NA,NA,"Plau",NA,NA,"Prdx4","Pou2f1","Ifngr1",NA,"Pgm2l1",NA,"Trim56"
"964","Alas1",NA,"H3f3a",NA,"Rplp0","Rbp1",NA,NA,"Ptprk",NA,NA,"Cpne3","Spred1","Map2k2",NA,"Rcn1",NA,"Tspan31"
"965","Cstb",NA,"Polh",NA,"Dpp4","Slc15a2",NA,NA,"Wnt4",NA,NA,"Hivep3","Atp1a2","Rgs19",NA,"Gigyf2",NA,"2410003k15rik"
"966","Mbp",NA,"Wtap",NA,"Tanc1","Banf1",NA,NA,"Gsk3a",NA,NA,"Shfm1","B3galnt1","2310016m24rik",NA,"Gpr160",NA,"Bc002163"
"967","Ndufa10",NA,"Dgkz",NA,"Tnfaip8l2","Cdc42bpa",NA,NA,"Irx1",NA,NA,"Bmp2k","Gng2","Ppp1r9b",NA,"Pla2g16",NA,"Ifrd2"
"968","Palmd",NA,"Mga",NA,"Dgkz","Degs2",NA,NA,"Nfe2l2",NA,NA,"Hist2h3c2-ps","Lpp","Cd101",NA,"Tcf12",NA,"Itpr2"
"969","Rab7",NA,"Rabgap1l",NA,"Kit","Lsr",NA,NA,"Cttnbp2nl",NA,NA,"Rab3d","Megf11","Itgb5",NA,"Gsdmd",NA,"St8sia4"
"970","Rnf150",NA,"Foxp4",NA,"Ppp1r9b","Rgs16",NA,NA,"Gpx7",NA,NA,"Fam78a","Sall2","Lpcat2",NA,"Ms4a6c",NA,"Ttc3"
"971","St3gal3",NA,"Gsdmd",NA,"Ankrd33b",NA,NA,NA,"Prrc2a",NA,NA,"Malt1","Tmtc3","Mrpl54",NA,"Ppp6r1",NA,"C80913"
"972","Myh11",NA,"Zdhhc18",NA,"Dpy19l1",NA,NA,NA,"Socs2",NA,NA,"Mgat5","Tnrc18","Snd1",NA,"Rgs18",NA,"N6amt2"
"973","Nampt",NA,"Klhl24",NA,"Zfp518a",NA,NA,NA,"Ndn",NA,NA,"Lbp","Ccl9","Cdc42bpb",NA,"Taf1d",NA,"Ostf1"
"974","Fgl2",NA,"Ppp1r13b",NA,"Ptpre",NA,NA,NA,"Rhobtb3",NA,NA,"Rnpepl1","Fndc3b","Igfbp4",NA,"Zfp507",NA,"Peli1"
"975","Negr1",NA,"Gramd1a",NA,"Zfp831",NA,NA,NA,"Tmed9",NA,NA,"Fam49b","Gm6583","Psme1",NA,"Gtf3c6",NA,"Akap2"
"976","Sycp3",NA,"Grn",NA,"Polh",NA,NA,NA,"Tnfrsf1b",NA,NA,"Meis3","Herc2","Fgd4",NA,"Mrps5",NA,"Pdcd2"
"977","Cd59a",NA,"Itpr2",NA,"Mmp2",NA,NA,NA,"Trim59",NA,NA,"Acp5","Trim44","Nckipsd",NA,"Ubash3a",NA,"Rgs11"
"978","Lilrb4",NA,"Ccm2",NA,"Spna2",NA,NA,NA,"Tulp4",NA,NA,"Atp2a3","Wdr81","Pinx1",NA,"4632428n05rik",NA,"Rpl22l1"
"979","Phldb1",NA,"Nrgn",NA,"Ttyh3",NA,NA,NA,"Elk3",NA,NA,"Plekhm1","Fam18a","Pkp3",NA,"Bzw2",NA,"Adora2a"
"980","Snrk",NA,"Zdhhc13",NA,"1100001g20rik",NA,NA,NA,"Extl3",NA,NA,"Cyp4v3","Rnf150","Abca3",NA,"Ebag9",NA,"Iffo2"
"981","Traf4",NA,"1300001i01rik",NA,"Aldh2",NA,NA,NA,"Mast4",NA,NA,"Gata6","Eng","Dram1",NA,"Entpd1",NA,"Pou2f2"
"982","Mc2r",NA,"Abhd2",NA,"Celf1",NA,NA,NA,"Pla1a",NA,NA,"Mgat4b","Alox5","Dtx3l",NA,"Nufip2",NA,"Ifi205"
"983","Mobkl2b",NA,"Marcks",NA,"Styk1",NA,NA,NA,"Svil",NA,NA,"Bst2","Far2","Nostrin",NA,"Utrn",NA,"Mrp63"
"984","Sdhc",NA,"Smarcd2",NA,"Eif3e",NA,NA,NA,"Ccdc136",NA,NA,"Golt1b","Rbfox2","Faim",NA,"Erich1",NA,"Psat1"
"985","Aox1",NA,"Aldh18a1",NA,"Snn",NA,NA,NA,"Mdfic",NA,NA,"Pdcd5","Ddx23","Ndufb2",NA,"Gbp9",NA,"Psmb1"
"986","Gpx4",NA,"Lpp",NA,"Fam38a",NA,NA,NA,"Myh11",NA,NA,"Rpl8","Ticam2","Parp12",NA,"Myb",NA,"Akr1c13"
"987","Ppp1r9b",NA,"Ehbp1l1",NA,"H2-t23",NA,NA,NA,"Rpl4",NA,NA,"Arpc2","Ncoa3","Pnkp",NA,"Nhsl2",NA,"Nsmce1"
"988","Ckb",NA,"Rpl35a",NA,"Sema7a",NA,NA,NA,"Arf4",NA,NA,"Gabarap","Nek1","Tceb2",NA,"Luc7l3",NA,"Parp10"
"989","Crtap",NA,"Runx3",NA,"Sept6",NA,NA,NA,"Mki67",NA,NA,"Lass6","Tcf4","Pabpn1",NA,"S100a13",NA,"Prg4"
"990","Gpt2",NA,"Ccdc69",NA,"Camk1d",NA,NA,NA,"Mrgprf",NA,NA,"Tbc1d2b","Krba1","Pim1",NA,"Sirt7",NA,"Ahnak"
"991","Mvp",NA,"Ccr1",NA,"Mgat5",NA,NA,NA,"Scd2",NA,NA,"Hdgf","Nrp1","Slc38a1",NA,"Slc9a9",NA,"Armc7"
"992","Pdha1",NA,"1110003e01rik",NA,"Tnfrsf11a",NA,NA,NA,"Bach1",NA,NA,"Galnt7","R3hdm2","Uck2",NA,"Vegfc",NA,"Bri3bp"
"993","Sema3g",NA,"Rpl4",NA,"Luzp1",NA,NA,NA,"C330021f23rik",NA,NA,"Sgms1","Gbp9","Casp8",NA,"Cntln",NA,"Paics"
"994","Tagln",NA,"Trp53inp1",NA,"Rbms1",NA,NA,NA,"Kank1",NA,NA,"Tcirg1","Stau2","Dapp1",NA,"Tomm7",NA,"Pdlim2"
"995","Dbt",NA,"Rab39",NA,"Rhob",NA,NA,NA,"Nedd9",NA,NA,"6330407a03rik","Tnf","Uqcrq",NA,"Zfp518a",NA,"Appl1"
"996","Mylk",NA,"Acsl5",NA,"Stx11",NA,NA,NA,"Tgif1",NA,NA,"Cacna1d","Acvr1","Cdca3",NA,"Cdca7l",NA,"Fam162a"
"997","Tmeff2",NA,"Inadl",NA,"Trem2",NA,NA,NA,"Hic1",NA,NA,"Mpzl1","Clec4a2","Tpst1",NA,"Frmd4a",NA,"Rpl31"
"998","Arhgap24",NA,"Myb",NA,"Notch1",NA,NA,NA,"Rhou",NA,NA,"Nenf","D8ertd82e","Arhgef6",NA,"Ptger4",NA,"Map4k4"
"999","Cdr2",NA,"Ppp6r1",NA,"Abcg1",NA,NA,NA,"Serpinb9b",NA,NA,"Rasa1","Fcrl1","Spata6",NA,"Rcsd1",NA,"Rpl41"
"1000","Echdc2",NA,"Renbp",NA,"Cd2",NA,NA,NA,"Cic",NA,NA,"Rasgrp4","Tlr6","Syngr2",NA,"Chka",NA,"Slc20a1"
"1001","Mybph",NA,"Rps8",NA,"Ipcef1",NA,NA,NA,"Fgf10",NA,NA,"Camk2d","Wdr60","Gbp3",NA,"Hvcn1",NA,"Il10ra"
"1002","Ak2",NA,"Fam48a",NA,"Klra18",NA,NA,NA,"Lass6",NA,NA,"Eprs","Zfp37","Gpr160",NA,"Rps19",NA,"Cox7c"
"1003","Ai464131",NA,"Galnt11",NA,"Syngr2",NA,NA,NA,"Tuba1a",NA,NA,"Il16","Cacna1a","Aldh9a1",NA,"Smarcc1",NA,"Cyth3"
"1004","Arf3",NA,"Gm4759",NA,"Tm9sf3",NA,NA,NA,"Cdk14",NA,NA,"Mbp","Mfng","Atp5k",NA,"Arrdc3",NA,"Elmo1"
"1005","Dusp3",NA,"Msi2",NA,"Txk",NA,NA,NA,"Wdr35",NA,NA,"Serpinb6b","Ccl4","Gstp1",NA,"Bcl9l",NA,"Aim1"
"1006","Ghitm",NA,"Pdlim2",NA,"Uck2",NA,NA,NA,"Zfp36",NA,NA,"2410022l05rik","Lrba","Nfil3",NA,"Denr",NA,"Usp36"
"1007","Man1c1",NA,"Usp6nl",NA,"Arhgap27",NA,NA,NA,"Clip2",NA,NA,"Camp","Map4k4","Coro2a",NA,"Mapkbp1",NA,"Adam15"
"1008","Mmd2",NA,"Cdk16",NA,"Pgd",NA,NA,NA,"Csgalnact1",NA,NA,"Polh","Slc44a2","Eno3",NA,"Rarg",NA,"Prdx1"
"1009","Syde1",NA,"Dtx3l",NA,"Slc23a2",NA,NA,NA,"Igfbp3",NA,NA,"Renbp","Zmym4","Rnf217",NA,"Cited4",NA,"Tsr1"
"1010","C030006k11rik",NA,"Fmnl3",NA,"Ampd3",NA,NA,NA,"Itprip",NA,NA,"Rsad2","E030024n20rik","Arap1",NA,"Eps8l1",NA,"Dapk1"
"1011","Capn2",NA,"Rps18",NA,"Il12rb1",NA,NA,NA,"Lrig1",NA,NA,"3110003a17rik","Ifi30","Cd84",NA,"Nop10",NA,"Elf1"
"1012","Lima1",NA,"Taok3",NA,"Myo10",NA,NA,NA,"Podn",NA,NA,"Pik3r6","Lrch1","Grk6",NA,"As3mt",NA,"Mark2"
"1013","Bc006779",NA,"Rapgef3",NA,"Nedd9",NA,NA,NA,"Ch25h",NA,NA,"Atxn2l","H2-dmb1","Rplp2",NA,"Incenp",NA,"Vps37b"
"1014","Lrrc17",NA,"Phyhd1",NA,"Pram1",NA,NA,NA,"Gpr133",NA,NA,"Cpeb3","Lrrc39","Ncoa7",NA,"Prkx",NA,"Nab2"
"1015","Pdk1",NA,"Ttyh3",NA,"5830416p10rik",NA,NA,NA,"Ptpn21",NA,NA,"Cyp27a1","Pan3","9130401m01rik",NA,"Cd55",NA,"Wdr43"
"1016","1110008f13rik",NA,"Zfp238",NA,"Ranbp2",NA,NA,NA,"Rnf126",NA,NA,"Ide","Snx5","Mtdh",NA,"Cecr5",NA,"Amigo2"
"1017","Id3",NA,"Arpc1b",NA,"B3gnt5",NA,NA,NA,"Tulp3",NA,NA,"Rps28","Zscan18","Parp14",NA,"Pard6g",NA,"Fkbp3"
"1018","Myh10",NA,"Itpr1",NA,"B4galt6",NA,NA,NA,NA,NA,NA,"Serpine1","Camk2a","Rab31",NA,"Parp14",NA,"Rpl17"
"1019","B230120h23rik",NA,"Samsn1",NA,"Acvr1b",NA,NA,NA,NA,NA,NA,"Aim1","Gpld1","Slc25a24",NA,"Sec62",NA,"S100a4"
"1020","Creb3l1",NA,"N4bp2",NA,"Ctse",NA,NA,NA,NA,NA,NA,"P4ha1","Rrbp1","Irak3",NA,"Sugt1",NA,"Snhg8"
"1021","Egr1",NA,"Noc3l",NA,"Fam46a",NA,NA,NA,NA,NA,NA,"Pon3","Celf2","Ptpmt1",NA,"Eprs",NA,"Spnb2"
"1022","F11r",NA,"Slc30a4",NA,"Mybbp1a",NA,NA,NA,NA,NA,NA,"Nlrp3","Sh3bp1","Sbno2",NA,"Prpf40a",NA,"Marveld1"
"1023","Fam129a",NA,"Emp3",NA,"Dpysl2",NA,NA,NA,NA,NA,NA,"Scamp1","Slc39a10","Cdk2ap1",NA,"Top2a",NA,"Cyp2s1"
"1024","Rbms2",NA,"Zc3h6",NA,"Itgb1",NA,NA,NA,NA,NA,NA,"Ptger4","Abcb4","Rcsd1",NA,"Tsga10",NA,"Nol8"
"1025",NA,NA,"9930111j21rik2",NA,"Cav1",NA,NA,NA,NA,NA,NA,"Sept9","Fhod1","Rpl11",NA,"Cln3",NA,"Tpcn1"
"1026",NA,NA,"Eif3i",NA,"Fmnl2",NA,NA,NA,NA,NA,NA,"Uba6","Man2a2","Taf3",NA,"D19ertd737e",NA,"Ccs"
"1027",NA,NA,"Limd1",NA,"Pkd2l2",NA,NA,NA,NA,NA,NA,"C1qbp","Naip6","Dbi",NA,"Slc39a4",NA,"Ptbp1"
"1028",NA,NA,"Snx29",NA,"Ptprcap",NA,NA,NA,NA,NA,NA,"Loxl2","Spg11","Gng2",NA,"Tmsb15a",NA,"Abcb1a"
"1029",NA,NA,"Ralgds",NA,"Trp53inp1",NA,NA,NA,NA,NA,NA,"Selm","Wiz","Txn1",NA,"Zbtb10",NA,"Akap1"
"1030",NA,NA,"Rps11",NA,"Cp",NA,NA,NA,NA,NA,NA,"Slc12a7","Yes1","Aim1",NA,"Serpina3f",NA,"Ckb"
"1031",NA,NA,"Gcom1",NA,"Rara",NA,NA,NA,NA,NA,NA,"Zfp710","Hyou1","Axl",NA,"Smc1a",NA,"Ndufb2"
"1032",NA,NA,"Clec12a",NA,"Dtx4",NA,NA,NA,NA,NA,NA,"Gprc5b","Rnasel","Cdkn2d",NA,"Tm6sf1",NA,"Parp14"
"1033",NA,NA,"Elf1",NA,"Gpx1",NA,NA,NA,NA,NA,NA,"Mpp6","Ttyh1","Spns3",NA,"Rbbp6",NA,"Rgs3"
"1034",NA,NA,"Mgat1",NA,"Lbh",NA,NA,NA,NA,NA,NA,"Psmg4","Zfc3h1","Zdhhc21",NA,"Atp5k",NA,"Tmem20"
"1035",NA,NA,"Ptpn14",NA,"Nek6",NA,NA,NA,NA,NA,NA,"Uhmk1","3110035e14rik","Stx16",NA,"Enpp1",NA,"Myc"
"1036",NA,NA,"Sfn",NA,"Dse",NA,NA,NA,NA,NA,NA,"Pim1","Cep68","Timp2",NA,"Faah",NA,"Prdm16"
"1037",NA,NA,"Hspa9",NA,"Gm5483",NA,NA,NA,NA,NA,NA,"Ryk","Icosl","Ddx21",NA,"Gpx2-ps1",NA,"Rpl35a"
"1038",NA,NA,"Mfhas1",NA,"Sh3bgrl",NA,NA,NA,NA,NA,NA,"B4galt5","Tsga10","Fkbp1b",NA,"Xlr4c",NA,"Zeb1"
"1039",NA,NA,"Atp1b1",NA,"Myh9",NA,NA,NA,NA,NA,NA,"Lhfpl2","Bcl2a1d","Txndc5",NA,"Zfp800",NA,"Eef1g"
