"","Adipocytes","Astrocytes","B_cells","Cardiomyocytes","Dendritic_cells","Endothelial_cells","Epithelial_cells","Erythrocytes","Fibroblasts","Granulocytes","Hepatocytes","Macrophages","Microglia","Monocytes","Neurons","NK_cells","Oligodendrocytes","T_cells"
"90","Ebf2","Igfbp5","Pyhin1","Clic5","Atp8b4","Ppic","Mtap1b","Slc43a3","Srpx2","Ccr1","Abcc3","Plek","Arap3","Irf7","Elavl3","Gpr171","Plekhh1","Cd48"
"91","Dpep1","Dmd","Cybb","Coro6","Hck","Meox1","Ulk4","Abcg4","Angptl2","Ly6c2","Cfb","Cytip","Ppp1r9a","Emb","Peg3","Serpinb9","Dhcr24","Il21r"
"92","Fmo1","Astn1","Cytip","Synpo2l","Ncf1","Atf3","Ptrf","Kctd14","Tm4sf1","Pilra","Proc","Rac2","Mlph","Itgb7","Csrnp3","Beta-s","Ddr1","Myo1g"
"93","Npr3","Wnk2","Mndal","Ak1","Lcp1","Fos","Ldhb","Mir451","Antxr1","Dok3","1300017j02rik","Btk","Plxna4","Hmha1","Mtap1b","Spry2","Slc6a1","S1pr4"
"94","Cd248","Mlc1","Il9r","Sorbs2","Cd33","Thbd","Slc39a12","Spc24","Vgll3","Itgb2","Cp","Ptpn6","Crybb1","Ptpro","Kcna1","Fgl2","Ncam1","Cd53"
"95","Ccdc80","Scara3","Ncf1","Rbm20","Fpr1","Cd200","Dnaic1","Prdx2","Fkbp10","Cebpe","Asgr1","Dnase2a","Gpr34","Selplg","Erc2","Hcst","Ttll7","Gbp8"
"96","Serpinh1","Dab1","Irf8","Usp13","Cd84","Nfib","Sulf1","Cdr2","Lrrc32","Cd101","Cdh1","Slfn2","Rnf180","S100a6","Scn1a","Gimap1","Ppp1r16b","Gimap7"
"97","Chchd10","Slitrk2","Il2rg","Rcan2","Tpt1p","Ifitm2","Efcab10","Dlgap5","Bicc1","Arap3","Ugt2b36","Ncf4","9830001h06rik","Ptprc","Ttyh1","Prkcq","Tspan15","Klk8"
"98","Tshr","Slc39a12","Rhoh","Gja1","Cyth4","Pls3","Fxyd1","1190002h23rik","Akap12","Ab124611","Cyp2f2","Ccnd1","Inpp5d","Ms4a8a","Gpm6b","Id2","Atp9a","Gpr132"
"99","Loxl2","Tril","Rasgrp3","Gpr116","Gpr141","Sorbs2","4932425i24rik","Slc2a4","Col11a1","Ncf2","Trf","Anxa1","Rtn1","E2f2","Ank2","Dok2","Nkain1","Ptpn7"
"100","Rarres2","Frmpd1","Pld4","Lmo7","Thbs1","S100a16","Plagl1","E130309d14rik","Slit3","Sfpi1","C4b","Metrnl","Hck","Emilin2","Rbfox3","Klra14","Dbndd2","Gbp4"
"101","Dlc1","Gpm6b","S1pr4","Asb2","Fcgr3","Fli1","Atp1b2","Uros","Vcan","Myo1f","Mbl2","Ncf2","Dock4","Fxyd5","Sez6","Rnf125","Zfp365","Slc28a2"
"102","Serpine1","Tnik","Gpr174","Hspb8","Slfn2","Rassf9","Pdpn","Tk1","Gpc6","Cd33","Cyp2d26","Pilra","Abcc3","Ncf4","Astn1","Cst7","Gnao1","Ets1"
"103","Car5b","Kcnj10","Btk","2310042d19rik","Fxyd5","Wwtr1","1700009p17rik","Kif22","Tead1","Fcgr3","Serpina3n","Fblim1","Fcgr3","Rac2","Scn3a","Hmha1","Pex5l","Ptpn22"
