"","B_cells","B_cells_pro","Basophils","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Fibroblasts","ILC","Macrophages","Mast_cells","Microglia","Monocytes","Neutrophils","NK_cells","NKT","Stem_cells","Stromal_cells","T_cells","Tgd"
"1141",NA,"NDUFS5",NA,"RPN2",NA,NA,NA,NA,NA,"RALB",NA,NA,NA,NA,NA,"RIPK3","PSMA7",NA,"LDLRAP1","VANGL2"
"1142",NA,"ZBTB18",NA,"C2CD5",NA,NA,NA,NA,NA,"SSR3",NA,NA,NA,NA,NA,"ADD3","ACSL1",NA,"PPP2R5A","LDLRAP1"
"1143",NA,"1700112E06RIK",NA,"PSTPIP1",NA,NA,NA,NA,NA,"ATP8A1",NA,NA,NA,NA,NA,"AGK","GM5921",NA,"RAPGEF6","SH3PXD2A"
"1144",NA,"CTSL",NA,"UGT1A5",NA,NA,NA,NA,NA,"FMN1",NA,NA,NA,NA,NA,"BSPRY","B230307C23RIK",NA,"TAF4B","TAF9B"
"1145",NA,"DNAJC9",NA,"ENPP5",NA,NA,NA,NA,NA,"GM7926",NA,NA,NA,NA,NA,"DENND1B","CDC23",NA,"TAP1","PRKD3"
"1146",NA,"NUDCD2",NA,"SORT1",NA,NA,NA,NA,NA,"HSPD1",NA,NA,NA,NA,NA,"MNS1","CTPS",NA,"TMEM229B","RPS3"
"1147",NA,"SLC9A7",NA,"TACC1",NA,NA,NA,NA,NA,"UBASH3B",NA,NA,NA,NA,NA,"AKR1C13","MRPL50",NA,"ZFPM1","TRAJ57"
"1148",NA,"HES1",NA,"WDFY3",NA,NA,NA,NA,NA,"ENPP4",NA,NA,NA,NA,NA,"CELSR1","RIPK3",NA,"DNAJC9","DIAPH1"
"1149",NA,"EPRS",NA,"DKC1",NA,NA,NA,NA,NA,"GPD2",NA,NA,NA,NA,NA,"IL1RL2","DUT",NA,"ZFP36","SNX14"
"1150",NA,"IGLJ1",NA,"MAD2L1",NA,NA,NA,NA,NA,"RASSF5",NA,NA,NA,NA,NA,"METTL9","RNPS1",NA,"ELK4","TECPR1"
"1151",NA,"KHSRP",NA,"VPS13A",NA,NA,NA,NA,NA,"SASH1",NA,NA,NA,NA,NA,"PDLIM5","ALG8",NA,"PTPN4","CPSF2"
"1152",NA,"SLC35D3",NA,"HIST1H2BC",NA,NA,NA,NA,NA,"CAST",NA,NA,NA,NA,NA,"VARS","CDC45",NA,"UBE2N","GM6274"
"1153",NA,"TTC7",NA,"HSPH1",NA,NA,NA,NA,NA,"TLR6",NA,NA,NA,NA,NA,"NDUFS1","OIP5",NA,"ZFP354C","GPR55"
"1154",NA,"PTPN7",NA,"MTMR1",NA,NA,NA,NA,NA,"SH3BP5",NA,NA,NA,NA,NA,"RACK1","SELP",NA,"BIRC6","PLEKHG3"
"1155",NA,"CDC6",NA,"RASAL3",NA,NA,NA,NA,NA,"SLC6A6",NA,NA,NA,NA,NA,"RNU7","THEMIS2",NA,"TRAV8D-1","SDR39U1"
"1156",NA,"ENTPD5",NA,"CCDC102A",NA,NA,NA,NA,NA,"UBE2C",NA,NA,NA,NA,NA,"SNTB2","GJA1",NA,"WDR6","SMO"
"1157",NA,"IL2RG",NA,"LFNG",NA,NA,NA,NA,NA,"COLEC12",NA,NA,NA,NA,NA,"DTX4","PPP5C",NA,"BIRC3","GPD2"
"1158",NA,"SEMA4D",NA,"PLA2G16",NA,NA,NA,NA,NA,"DNA2",NA,NA,NA,NA,NA,"GCNT1","WDR6",NA,"GM13680","MAP4K2"
"1159",NA,"SLC17A9",NA,"STK3",NA,NA,NA,NA,NA,"LIMD1",NA,NA,NA,NA,NA,"GM6637","WFDC17",NA,"HINT1","PLK3"
"1160",NA,"1700008J07RIK",NA,"HEXA",NA,NA,NA,NA,NA,"MTX2",NA,NA,NA,NA,NA,"OXCT1","DHDDS",NA,"HSD17B4","SMARCC1"
"1161",NA,"GSTO1",NA,"MSI2",NA,NA,NA,NA,NA,"NAA50",NA,NA,NA,NA,NA,"PAG1","RBP1",NA,"RTP4","TNFRSF18"
"1162",NA,"PSAP",NA,"RP2",NA,NA,NA,NA,NA,"RPS14",NA,NA,NA,NA,NA,"PDIA3","SMYD5",NA,"TTC7","TTK"
"1163",NA,"PUM3",NA,"RPS2",NA,NA,NA,NA,NA,"TSPAN13",NA,NA,NA,NA,NA,"PRRC2C","ZFP991",NA,"DARS","CCDC125"
"1164",NA,"ACSL1",NA,"TMEM50B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RNASEL","DPH6",NA,"PPT2","NOTCH1"
"1165",NA,"ASH2L",NA,"TXN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPR55","ERAP1",NA,"RCL1","OXCT1"
"1166",NA,"MARCKSL1",NA,"ZMPSTE24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC10A3","NAA50",NA,"RPS5","TRIM28"
"1167",NA,"THEM6",NA,"RPL19-PS7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1GALT1","RAD18",NA,"SH2D3C","IL18R1"
"1168",NA,"SDAD1",NA,"CPEB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HPCAL1","SHMT1",NA,"ZFP84","HSD17B12"
"1169",NA,"TPD52",NA,"DDI2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IFIT2","YBX3",NA,"AKAP13","MIS12"
"1170",NA,"BLM",NA,"PNPT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCNA3","GALNT6",NA,"CCDC125","RCN1"
"1171",NA,"GM5121",NA,"TPK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RIC1","SLC35B4",NA,"CCNG2","STAT1"
"1172",NA,"SMC3",NA,"AKAP13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZFP287","NPM3-PS1",NA,"CRBN","CLDND1"
"1173",NA,"6330407A03RIK",NA,"CAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATN1","OTUD6B",NA,"UHRF1","ENPP5"
"1174",NA,"CCR7",NA,"CCNB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GM5853","SASS6",NA,"BIN1","RASA3"
"1175",NA,"CENPI",NA,"FUT4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FNDC9","SEC11C",NA,"CCM2","TSPAN32"
"1176",NA,"GM41780",NA,"LOC100038947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TKT","THOC1",NA,"SDR39U1","AGGF1"
"1177",NA,NA,NA,"SPNS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPR","BIRC5",NA,"TTLL3","GM5853"
"1178",NA,NA,NA,"AGAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASAP1","CDC6",NA,"GM12034","GNG5"
"1179",NA,NA,NA,"HERC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAG1","DNAJC15",NA,"GRAMD1A","NRROS"
"1180",NA,NA,NA,"MYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFXN1","NVL",NA,"P2RX4","UTP6"
"1181",NA,NA,NA,"H1F0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC28A2","PLEKHO1",NA,"PIP4K2A","NEDD4L"
"1182",NA,NA,NA,"SNX20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZFP217","PPM1H",NA,"TARDBP","NEMP2"
"1183",NA,NA,NA,"STXBP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRDX3","GM10260",NA,"JAK1","HSF2"
