"","B_cells","B_cells_pro","Basophils","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Fibroblasts","ILC","Macrophages","Mast_cells","Microglia","Monocytes","Neutrophils","NK_cells","NKT","Stem_cells","Stromal_cells","T_cells","Tgd"
"602","CSF2RB","FLI1","S100A11-PS","IQGAP1","TMEM173","SCARB2","RAPGEF5","SMOC2","ZSWIM6","PRDX1","ARHGDIB","STK17B","SCARB2","P2RY2","SLFN10-PS","PARP12","CD52","PDGFA","PVT1","AKR1E1"
"603","S100A10","GAS5","SLC4A7","CD33","IFI203","SP100","HPGDS","STRIP2","SP4","CFB","ENPP4","4931431C16RIK","NECTIN1","GM38424","RAPH1","PRF1","NIFK","RASL11A","CNN2","IDH3A"
"604","SGK3","FADS3","ABCD2","KLRB1B","THSD4","LGALS1","PDCD5-PS","CEBPB","AGAP2","EMILIN2","TXN1","CHST7","ITPR1","PQLC3","SLC2A3","RASSF5","FAM111A","SLC10A6","GLIPR1","D17H6S56E-5"
"605","TCF12","STRBP","RPS5","VIM","CD9","LY6C1","PRDX1","COL4A2","TES","DPY19L1","ST3GAL1","TMEM135","PIK3CD","CCDC189","PHF6","TASP1","CDC42BPA","ARAP2","GM6252","ATP2B4"
"606","CSE1L","PDK1","FAM110C","EHD4","SNORA16A","CYFIP1","STRBP","GABRG3","CNN2","GNS","CCL1","TOM1L1","SP100","GALC","NAIP6","ADCY7","PIK3CD","TSC22D1","SEPT11","PA2G4"
"607","ICAM2","ASS1","TCF12","CYP4V3","COL4A2","DENND6A","SEMA4A","FAM43A","PSMB10","HDAC9","MYO5A","OGFRL1","GBP9","LMTK2","ZBP1","FLNA","FEN1","VGLL3","NEDD9","GM2A"
"608","KCNQ5","GTF2I","UGCG","KIF11","CDC42EP1","ELANE","STXBP6","C1QTNF7","WAS","CLEC2I","UQCC2","TGFBR2","ANKRD44","CAPN1","ZSWIM6","PRDM1","EEF2K","LRG1","TMEM156","FAM109B"
"609","SLAMF1","RSL1D1","PLG","ZSCAN26","PRKCQ","SLC44A1","ATP2A3","CD9","NR1D2","MAN1A","EDIL3","ALOX5","ATG4C","LY96","PRKX","SNORA75","AS3MT","RERG","PSMD11","TSPAN3"
"610","ABI3","TCF7L2","CPEB2","WDR43","SLC16A9","PLAUR","HSPB8","FZD10","ZBTB25","PDE3B","GM15452","NOP58","TMEM243","MIR27A","TNFRSF1A","RAB4A","RUNX1","STARD13","ORAI2","CCT8"
"611","MDN1","PDE3B","PPBP","MAN1A","ETS2","4930453N24RIK","SLC34A2","FAM46A","RAB19","SERPINB1A","GM3756","RNU12","TMEM51","PIK3CD","CCT8","SAMSN1","PRDX4","PRKG2","SPTBN1","RASSF5"
"612","NEMP2","SEPT6","RCSD1","IFRD1","H2-Q4","DENND1B","CRP","PRCP","SNORD104","SLC35E3","SLC4A11","PADI2","D1ERTD622E","SNORD42A","HEXB","ZFP36L1","SEPT6","SPON1","PRF1","XRCC6"
"613","ATP2B1","PHF6","ERO1L","RAB11FIP1","ITGB4","GMIP","GC","TMEM100","1190002N15RIK","LITAF","SLC9A6","PECR","QSER1","SMPD5","KLF3","CTLA2B","SNORD47","SRPX2","SNORD53","FGL2"
"614","NRROS","SEPT11","IFRD1","APOL10B","LAPTM4B","RPS6KA2","SERPINB11","CPD","ALKBH6","EPS8","FOXP1","RRAS2","SND1","KLF2","NOP58","PTGER4","WLS","TNFRSF1A","TECPR1","RFTN1"
"615","JAKMIP1","BCR","STXBP2","APOBEC1","PSG22","GABBR1","SPARC","CYP2J9","ELMO1","HVCN1","SYK","DAGLA","TTC7","MAP4K2","KCNQ5","FTSJ3","POMP","TRPC3","PDE7A","SESTD1"
"616","CYP39A1","RIF1","CTSD","RASA4","DSTN","ESYT1","ARID5B","DOCK1","SLC2A3","MOSPD2","CHST15","SNX24","PLXND1","PDLIM5","DNAJC3","PSTPIP1","TRIM59","1810011H11RIK","SLC37A3","ABCG3"
"617","MIR6516","PRPS2","KLF10","SASH3","CHN2","CBFA2T3","RASGEF1B","EMP1","CRIM1","APPL2","HSD17B11","CD300A","RFTN1","RHOF","IGKV14-111","BUB1B","SLC2A3","AFAP1L2","GM10130","HIST2H4"
"618","CCT8","CD19","SLC1A5","DUSP2","KLF6","HSD17B11","SBF2","FAM49A","RRAS","TDPX-PS1","METTL4","PSAP","IFIH1","TBC1D2B","ARHGEF3","FAS","CCT6A","ZFHX3","MAN2A1","DHCR24"
"619","BIN1","BZW2","DTNB","GDAP10","GRN","PTPN1","NIPAL2","NA.83","HACD3","DNASE1L1","MRPL33","SLC12A9","PMAIP1","ANO10","EXOC6","GALNT12","FCHO1","ADGRL4","NOTCH1","DNAJC3"
"620","VIM","CD69","GM4945","CD84","MAP4K2","MPP1","A630095E13RIK","HSPH1","SLC25A24","CLN8","CDC42BPA","NRROS","DUSP2","GADD45B","KCNJ8","MAF","RFC2","GNB4","ZBTB25","SOX13"
"621","DENND3","EXOC6","RPL36A-PS1","LIMD1","CYB561","PRR13","NCF4","LY96","UPRT","GDPD1","GGA2","B4GALT4","GSTO1","ITGB2L","PRKACB","NCF4","ZFP521","MMP23","F2R","GM5643"
"622","ERDR1","S100A11","NPM1","SAT1","SMTN","SGK1","IQGAP1","TACR1","ANXA2","SIAE","GPR132","CDCA7","PHOSPHO1","SOCS3","SLC35F5","GM9835","HNRNPR","CSF3R","PHF6","HIST1H1A"
"623","PHF6","DOCK10","SGMS1","CCL9","EBF1","SGMS1","NCEH1","SH2B2","CNNM2","ZFP36","RAB2B","LAMP2","AIM2","AGAP1","RBM12B2","TBC1D2B","BOD1","STUM","MIR6516","A430078G23RIK"
"624","FRY","TAPT1","FLT3L","DPYSL2","ATRNL1","F2RL2","PLPPR5","GMPPB","MTX2","STAT4","SNORA28","SH3TC1","FLI1","CDC42EP3","GNAI3","FCHSD2","FAM212A","ANGPT1","TRAPPC2","USP11"
"625","MAP4K5","EZH2","TCP11L2","EIF3A","FOXP2","NUCB2","IDH1","RAB34","CERS4","VKORC1","TAGLN2","WDR43","CAPG","IL10RA","MYO6","HSPA9","NHP2","SERPINB9","CDC14B","LFNG"
"626","PDE2A","WDHD1","NCK2","TLR12","PXMP2","SNORD53","TNFRSF8","ZCCHC24","ELL2","ZSWIM6","CAT","DDIT4","CXCL10","KRT86","NEDD9","CTSD","EZH2","TRPC1","KLRD1","GBP2"
"627","SGMS1","SNORD68","PRR13","ADRB2","WWC2","METTL4","LNCPINT","ANXA5","GSTM5","CCNA2","TTC39B","DYRK4","ATP6V0A1","PHACTR2","GLCCI1","MVB12B","GM10269","TMEM182","CTLA4","HNRNPM"
"628","FH1","CD79B","FUNDC2","CEACAM1","ADGRG1","NEDD9","PRPS1L3","PLVAP","TCF12","PLOD1","ZFAND2A","ENDOD1","CMTM3","IRF7","GPR137B-PS","EYA2","NAIP5","ELN","FOCAD","SEPT9"
"629","ADAMTS6","RPS2","FERMT3","NFKBIA","PARD6G","RPS5","PRSS16","GLT8D2","PIK3CD","PTPRE","PTMS","THOC1","LRRC8B","PIK3CB","TCF12","HSPD1","G2E3","NT5DC2","TM6SF1","ENTPD5"
"630","RBM12B1","MMS22L","6330407A03RIK","SH3BP1","GATA2","CYP4V3","BMP2","ABCB1B","FAM105A","GM5331","GM7335","BMYC","TRAF3IP3","6530402F18RIK","WAS","BOD1","GM7931","TMEM119","NDRG2","SLC9A3R1"
"631","CNN2","SMIM5","PEPD","DAB2","ARHGEF3","FAM46A","DEFB1","FBLN2","GM6477","FBLIM1","ZDHHC21","PLCG1","MS4A8A","SP100","A530088E08RIK","SNORD37","H1F0","HEG1","AR","CDK6"
"632","GM10130","MSH6","GM10224","CNN2","MYC","NSMAF","LDHB","CSMD1","GSTM1","IRAK3","CPQ","SBF2","PAK1","FOXD4","ANP32B","SH3BP2","LAT2","IFI213","EMP3","FAM124B"
"633","PIP5K1B","ANAPC5","ARRB2","TCP1","PLEKHO2","JUP","TWSG1","GM266","MMGT2","TXN1","6330407A03RIK","GPR157","GM10224","DIAPH1","MARCH8","SNORA21","S100A11","3110039I08RIK","BC106179","MARCKSL1"
"634","GM12568","EYA1","FBXO9","TSR1","SLC45A3","ZFP119A","NFIA","IL13RA2","PRELID2","ACTN1","GIMAP6","CALU","IGHM","TLR5","MIS18A","IGF2R","TIE1","ADAMTS4","ARHGEF3","CAMK2D"
"635","NSMAF","COLQ","LAMA5","MMP25","CSGALNACT1","TREML4","CRYAB","CAPN2","NCEH1","CAMK1D","UBASH3B","SEMA4D","PHF11D","GM8775","TNFAIP3","DPY19L3","WDR36","GBP2","HSDL1","IARS"
"636","FARSB","RASSF4","CRTAP","RRM1","CTPS","FHL3","FAM213A","CRTAP","NEDD9","MTM1","DOCK7","SOWAHC","L1CAM","CRISPLD2","GM5643","GRAP","NOP10","IGFBP6","LGALS3BP","SIT1"
"637","GM5431","TOPBP1","ZFP385A","ANTXR2","PRCP","GM10224","GM11545","TSC22D1","MIRT1","SLC40A1","LYSMD3","MCTP1","SAT1","FAM63A","CUEDC1","HIST2H2BB","SLC14A1","NOSTRIN","RPS14","SMPDL3A"
"638","SLC28A2","POLE2","CTSC","GSTO1","PREX2","RFX7","HAS2","LOC102631912","SIDT1","SPTBN1","EML4","SEMA4G","SEPT11","TMEM50B","ERRFI1","SMARCE1","CENPN","AP1S2","RTN4RL1","BTG2"
"639","AIM2","CASC4","MOB1B","NFKB2","CAMK4","MYC","SERPINB6A","GM11472","PPM1H","PSD3","LMAN1","PRKCD","LY96","AZIN1","MCOLN2","SLFN8","FBXO5","GDF10","SNORA21","PLEC"
"640","NFAM1","LILRB4A","POLR2F","SCARB2","CHRM3","MYCBP","BHLHE40","KLF6","TUBA4A","BMP2K","TFPI","DOCK10","AW112010","FRY","PLCB2","GM8775","SMC4","CDH19","MPHOSPH10","RPA1"
"641","SGPP1","CCDC125","LOC102640277","OGFRL1","SORBS2","RNH1","LY6G6C","CYP2C44","ZFP51","IL2RG","PTK2B","TGFB1","RPL3-PS1","KIF21B","PHKA1","MTHFD1","SEPT1","TNS1","MPP1","CLSPN"
"642","DDX21","EIF3A","GNB4","NSMAF","FUT4","STON2","MEI4","GADD45B","CTSC","PTK2B","TMEM71","ARL4C","TIAM1","RHOC","SPAG7","LIPO3","GM6134","APOD","ODC1","MSH6"
"643","TCP1","JAML","AI467606","PKIB","MERTK","TSPAN13","CHGA","GYPC","EVL","ITPRIPL2","MYO1G","MSMO1","KLRB1F","BCL3","VOPP1","DDX58","DNAH8","CCL7","RPA1","ASS1"
"644","GM10269","RFTN1","CAPN1","PLK2","PIK3R3","IGKV4-58","MYO10","RAB28","RINL","ATG4C","PSEN2","TGIF1","BCL11A","HGF","CNN2","TNFRSF1A","HPRT","NTN4","VPRBP","SQLE"
"645","DOCK10","TIMELESS","HIST1H1E","SIK1","TNFRSF10B","PARVB","OIT1","SERPINB9","SCAND1","KCNK6","SGK1","EPHA2","CD83","PRR13","ARAP3","TPX2","ANXA5","ANGPTL4","TRAF3IP2","FOS"
"646","MRPS18C","RUNX1","KTI12","GRASP","SPINT2","RBMS1","HIST1H4D","SPRY2","GM12497","PDIA6","SLC43A3","PLOD3","IL31RA","PTPN12","ARF6","ZFPM1","LMAN1","ASB2","4930453N24RIK","KLF2"
"647","SNORA34","NXPE3","TES","HSF2","COLEC12","WAS","MCTP1","AKAP12","H2-AB1","DUSP22","PCDHGA1","SNN","LPXN","TRP53INP1","IL15","DDX60","GM5093","ITGA11","CHD3","IGF1R"
"648","ANP32B","RPL13-PS3","GM5182","SOWAHC","NRARP","LTB4R1","ST3GAL6","BLOC1S4","ADCY7","CDK4","RBMS1","YES1","RUNX3","TRF","KLF6","ITPR2","GUF1","C1QTNF1","KLF13","RIF1"
"649","PLAUR","SPTBN1","PRKD3","ARHGAP31","TNFAIP3","GM9001","CLCA3A1","RPS14","KLHL6","PITPNC1","NMRK1","HPS3","ZSCAN26","SNORD16A","APLP2","RNASE4","SPTBN1","HIST1H2AK","AS3MT","PSMD11"
"650","CBX6","NUP205","SMPDL3A","SRGAP3","ELN","IDH1","RPL3-PS1","LGI2","ATP2B1","GM10224","GM8995","MAGED1","BMP2K","TNFRSF1B","GBP7","TTC3","GM5182","SPRED1","NUP205","SLC1A5"
"651","UGCG","GRN","FOXO1","ACTR3","LGALS3BP","ABTB2","KIF21A","MRPL18","KIF21B","NR4A1","TNS1","EBF3","HINT1","MGAT4A","GPRIN3","MYO6","LRPPRC","FAM81A","CERS6","GPR68"
"652","SLC30A4","CCNF","GLB1","PEA15A","MAGED1","FFAR2","PSMD14","DDX1","ATP6V0E","FAM49B","CALCRL","CASS4","TMEM173","APOBEC1","PPP4R2","RBPMS","RANGRF","SFRP4","ZFP330","TTC39B"
"653","APOBEC3","IDE","MMD","CYB561A3","SBF2","MIR15A","TM4SF5","ANTXR2","CDK4","ADAM9","SUCO","DOCK11","ATP7A","CALCRL","PPM1H","HNRNPLL","RPS14","SLCO2B1","PSMC5","RORA"
"654","LCK","HJURP","RAB27A","PDLIM5","ADAMTS5","RHOF","TNFSF9","BMP4","INPP4B","AKR1E1","TSHZ3","ARRB2","ST3GAL1","CD200R1","FLT3L","CMAH","GM7335","MYO1D","RSL1D1","TSPYL3"
"655","MSH2","CD44","FUT8","4930523C07RIK","BST1","SLC36A4","DUSP10","FGFR4","TNFRSF1A","PLOD3","KLHL6","SH3BP2","A430078G23RIK","SEM1","GAB2","ARHGEF3","ZC3H12C","CTSC","ACSS1","PARP1"
"656","HEXB","SMARCE1","SGF29","LAIR1","SNORD34","CDK4","EPHX1","FAM26E","FUNDC1","PFKP","SNX9","PLK3","APBA1","PPT1","IFI211","ITGA4","ANP32B","GFRA3","DOCK10","TRAF3IP2"
"657","RFX7","FGR","ICK","HPSE","LCN2","A630089N07RIK","PKNOX2","LTC4S","LFNG","GIMAP6","ARHGAP45","KBTBD7","GPX1","ATP6V1E1","UTRN","PDCD1","TKT","ACTC1","DUSP2","NUP205"
"658","PDE3B","HNRNPR","CD72","FLI1","SNORD35A","HVCN1","ELOVL4","CDK5RAP3","VIM","PRPS2","CALU","MIR27A","MYO5A","GPR137B-PS","PPP1R16B","PRPS2","ACER3","IFI208","SNORD37","NEDD9"
"659","ARHGAP17","IGKV4-60","RPL27-PS1","TNFRSF1B","GM6762","GPR183","IL6ST","GM9844","APPL2","GBP2","GM3550","PPT1","SOAT1","LONRF1","CCNJ","SPRY2","AKR1E1","XDH","TCF12","PKP4"
"660","MSI2","RPS14","SH2D3C","SMC4","SHE","IL1RN","MCCC1","ITGA11","4930523C07RIK","CD83","RENBP","PTPRM","H2-T24","ASNS","EFR3A","DENND4C","CEP97","SCARB2","CMC4","RBPMS"
"661","ARHGEF3","CRIP1","CARNS1","ADCY7","CEACAM1","ZFP704","MMP14","PLA2G15","PRCP","GM9844","ZBTB10","SPRED1","CCDC125","GM41410","SH3BP2","PRKCA","RPL37","MRVI1","IFIT1","SYTL3"
"662","CTSZ","DIAPH3","GM1966","TTC3","CNN3","LDLRAP1","SPINK5","HOXD8","ARHGAP25","HSPA9","SH3BGRL","TMEM63A","PDLIM5","MGLL","FAM53B","RPS6KA1","TOPBP1","TTLL7","PLEC","CST3"
"663","SSRP1","LOC102639543","TAGLN2","PI4K2A","ADRB2","MAP4K2","UQCC2","LMAN1","SSSCA1","TMEM71","TUBA8","IGSF6","PECAM1","SLC20A1","RBM12B1","TCF12","EGLN3","PDLIM5","WDR76","CD200"
"664","RB1","A530088E08RIK","CCPG1","LMTK2","GJA4","TIMP2",NA,"NPAS2","EML4","FGFR1","WAS","PRKCA","DDIT4","DUSP16","RBM3","CIART","IPO11","PLXND1","MAN1A","MBOAT1"
"665","ST3GAL1","IQGAP1","KLF5","BASP1","TMEM120B","BCAP29",NA,"SWI5","ANTXR2","TMCC3","XRCC5","SMAGP","IL12RB2","ITPRIP","WIPF1","RACGAP1","NFIX","VWA3A","TBC1D2B","ACOT7"
"666","WEE1","TARDBP","LNCPINT","CBLB","CADPS2","SVIL",NA,"IRS1","FAM96A","LYVE1","FERMT3","PTPRJ","PRDX1","NBEAL2","KHDC1B","RSL1D1","NT5C3","GSTM5","IFIT2","CDCA8"
"667","OTUD1","POU2AF1","PRKCB","EBI3","FGL2","SSXB1",NA,"MARCH8","TBC1D2B","PLXNA1","UNC13B","TCF4","GSTM1","WAS","SERF2","TTC27","VIPR2","IFRD1","IL17RA","BRIP1"
"668","DUSP2","SLC27A2","GM41780","SNORD42A","GXYLT2","GPR137B",NA,"PLOD2","SAMD9L","RHOB","ECE1","GP9","BRI3BP","HNRNPLL","GSTM1","OLFR331","CD44","TMOD1","STK4","TCF12"
"669","IER5","RBM8A2","ARL8A","CMTM3","CHST15","RNF130",NA,"SPAG7","SMS","HACD3","GBP2","HNMT","PQLC3","ITGA4","ADCY7","SLC20A1","PIP5K1B","OLFML1","SELENOP","KIF22"
"670","TSPAN2","DEK","CREB3L2","SLC22A23","JUP","SIAE",NA,"ST6GALNAC6","PKP4","ANTXR2","RIN3","CCL27A","SAP30","AGPAT2","REEP5","LFNG","RPP40","ARID5B","BMP2K","SDAD1"
"671","GM5182","GM7285","DNAJB9","PLEKHA5","RBPMS","WIPF1",NA,"CRIP3","PLEKHA5","P2RY14","PHLDA1","DENND1C","CASP4","IQSEC1","ARHGAP26","SEPT9","VAMP8","CCND2","S100A11","NR4A3"
"672","IL27RA","SMARCAD1","SP100","PTPN4","TSPAN31","ARHGEF3",NA,"RNF150","MIR680-1","TPD52","S1PR3","IFNGR1","SH3BGRL","NAIP2","CMC4","DOCK10","GM9844","FKBP7","SHISA5","CNN2"
"673","RPS14","AR","TMCC3","SESTD1","VCL","ARRDC3",NA,"STEAP2","POP5","GM18157","SERPINB6A","SNORD49A","SVIL","SSH2","FAM78A","ITGA2","FASTKD2","MRGPRF","ST8SIA4","MAGED1"
"674","TMEM156","GRAP2","TSHZ3","SH3BGRL","PLCG1","DIAPH1",NA,"MEI4","TNFRSF25","MSRB1","AIM2","IER2","FCRL1","TSPAN13","PDLIM5","ARHGAP26","ATAD2","ABCA6","LIMD2","FOXM1"
"675","AKNA","SND1","S1PR4","GCA","LATS2","SASS6",NA,"CLP1","TRAF3IP3","SLC35F5","SGCD","PRPS2","LMAN1","FAM107B","WDR43","IQGAP1","CSE1L","CHST4","PSTPIP1","ATRNL1"
"676","SMIM14","TBC1D2B","LFNG","ERDR1","SMARCE1","NOD1",NA,"SH3PXD2B","ZFP36","BCAP29","VKORC1","SIPA1","RNASE4","SGK3","GM7308","CXCR4","SSBP2","IRS1","RAMP1","CEP55"
"677","SELPLG","GPR25","PRKCD","LPCAT2","UGCG","FUNDC2",NA,"THRA","PRKCA","SLC35F6","ABCA1","A630033H20RIK","ARHGAP26","SPOP","H2AFZ","GTF2E1","CST3","STK39","ARHGEF11","RCSD1"
"678","ACTR3","HIST1H2BH","XKRX","PLIN2","APOL10B","GM29376",NA,"GAS7","RPL3-PS1","CNR2","BCAP29","CDKAL1","FAM107B","GIMAP9","PEAR1","NDUFA4","NASP","SAMD9L","CELSR1","RPS6KA1"
"679","CDKAL1","CD81","ELL2","SLCO5A1","DDX1","GNA15",NA,"GGT5","GM5356","GSAP","CCNA2","CD200R1","PLA2G4A","RUBCNL","TNFRSF18","TFAM","PSMA4","FAM46A","FLT3L","C1QBP"
"680","TTC39B","GM10584","USE1","APOBEC3","PCDH17","KLF5",NA,"PEBP1","HIST1H2BJ","TCF12","MVB12B","DNAJB9","ELMO1","SMIM3","CAMK2D","CRMP1","FARSB","VSIG1","SGK1","LRRC8C"
"681","ANP32E","RPL3-PS1","ITM2C","CD200","IDE","RPS6KC1",NA,"TSPAN31","NUDT4","FARSB","TEX2","GAB1","EXTL3","CCPG1","RRM1","L3MBTL3","SNORD38A","ADGRA2","EZH2","TNFRSF1A"
"682","PDIA4","UCK1","WAS","FAM111A","RNF213","TEC",NA,"ADGRA2","YIF1B","FGD6","KTI12","ZFP710","DIAPH1","KLHL6","HNRNPM","ZFP507","SPINT2","KCNQ4","LPAR6","DUSP1"
"683","SLC16A7","5730408K05RIK","ZFP36L1","LYST","NPDC1","CSGALNACT2",NA,"LGALS3BP","EXOC6","SMC4","PVR","LOC101056100","FAM65B","MARCKSL1","DPYSL2","H2-Q4","2410002F23RIK","RCSD1","SGMS1","MPHOSPH10"
"684","MIR687","BHMT","ARHGEF3","PLTP","ZEB1","TAF9B",NA,"MAN2A1","GSTK1","NXT2","4930503L19RIK","SNTA1","MRPS18C","NFKBIZ","RRBP1","IDH3A","ERDR1","AGT","SNORD73A","CTSD"
"685","OTUD7B","GM9118","BMPR2","DOK1","FAM107B","INPP4A",NA,"PCDH18","ANXA5","MAGED1","HIST1H2AK","SGK3","BMPR2","NOXRED1","ZFP36L1","JAK2","RBM8A2","HGF","SSRP1","PARPBP"
"686","BTG1","SNORA23","GM8129","PRKCD","GM13181","PRKCD",NA,"SYT12","BIRC3","THBS1","TIMP2","CAMK1D","RPL36A-PS1","RCSD1","IFITM10","PRPS1L3","HINT1","CNN2","VPS26B","TRBV4"
"687","FAM134B","CUX1","CAPN2","ANP32B","D17H6S56E-5","RACK1",NA,"TNFAIP3","CSRNP1","WDR43","RARA","2610528A11RIK","PDIA6","GBP2","PRR5","NSMAF","PON3","RGS7BP","IQGAP1","EGLN3"
"688","FAM49B","SMARCC1","DUSP6","BCL2A1C","TDPX-PS1","GDPGP1",NA,"PGF","ZBTB10","CCL24","MOSPD2","ARHGAP30","PPM1H","SEMA4D","TRPV2","RNF213","VCL","TPPP3","PRMT3","LAT2"
"689","WDR36","APEX1","RBM38","DENND1C","ATP2B4","TALDO1",NA,"CYP2J6","ZFAND2A","NOSTRIN","PTGER3","GMPR","KLF2","IGKV4-58","GM8775","CNN2","ANAPC5","SCD1","ANP32B","EVL"
"690","GLG1","ITSN1","DIAPH1","CREG1","CD274","FLT3L",NA,"PARL","PDCD4","6430548M08RIK","UPRT","TLR2","PFKP","FLNA","MMGT2","EML4","SGK3","UST","CAMK2D","PLCG2"
"691","MYBBP1A","MTFR2","JUNB","H2-Q4","ABCA3","GBP9",NA,"ADAMTSL3","FLT3L","MGAT4A","ARID5B","CYBB","ARHGAP9","IER3","TNK2","GM4366","PDLIM1","HSP25-PS1","IDH2","UTRN"
"692","GM15210","CALCRL","PACS1","LITAF","SCN1B","SPNS3",NA,"MSMO1","GM10358","NEDD9","CHURC1","NEURL3","FRY","VCL","CCDC88A","SPAG7","MRPL42","GRK5","RPL36A-PS1","ZNRF1"
"693","RSL1D1","C1QBP","HIST1H3H","MYCL","SRGAP3","TAF1D",NA,"TIFA","4632427E13RIK","STK17B","MAPKAPK3","NLRP1C-PS","NAB1","ZEB2","SH2D3C","IFIT1","IRAK3","HMCN2","SIKE1","ATIC"
"694","NUCKS1","RUNX3","MARCH8","CD7","IER2","DCTN6",NA,"CACNG7","SNORA73B","SGPP1","PDCD5-PS","LAP3","AKT3","GADD45G","IKZF5","KCNN4","PTGS1","IGF2","SQLE","NABP1"
"695","WDR44","ZNRF1","SGK3","CEP85L","IFI27L2A","STXBP2",NA,"EMP3","NSMAF","AKT3","TRIB2","MFSD11","NSMAF","MIR15A","AGGF1","PRKCE","RPL8","PTPRK","ERAP1","SLC30A4"
"696","EXOC6","FH1","RASSF5","MEF2C","PRDX4","TBC1D2B",NA,"SEC11A","PRKAR2A","TNS1","TRP53INP2","PLD3","PHYH","NRROS","DOCK10","SOCS2","TES","E030011O05RIK","C920009B18RIK","ACSS1"
"697","GPR65","GBP9","SGK1","MRPS18C","SMAD1","EMP3",NA,"MRPS18C","RBPMS","CD164","SPTY2D1","H2-K2","CCDC88C","NUMB","JAK1","SPTBN1","PPP6C","DTNA","GTF2IRD1","GM9835"
"698","SETBP1","PRKCE","GM8724","SP100","CYFIP2","PDE2A",NA,"ARRDC4","AAK1","NABP1","UGCG","RBM3OS","NA.83","PDE8A","PTPN6","ATP1B3","PSTPIP1","HOXC6","SCARB2","LDLRAD4"
"699","WAS","RPL8","HIST1H4C","HNRNPLL","ELK3","LRRC1",NA,"CLEC11A","GM6485","PDLIM5","INTS6L","CFAP74","RPS5","FAM105A","TIAM2","ATP5C1","SLC1A5","LRRC4C","PDE4D","TSPAN31"
"700","FAM3C","TYMS","GM6477","TAP1","BOD1","HERC1",NA,"MFAP2","IER5","FAM129A","CASP6","TMEM243","RNF144A","LFNG","EML4","CCDC88C","SLC25A24","THRA","SLC9A3R1","EHD1"
"701","MTHFD1","GBP4","BMX","CSRNP1","DAPK2","RXRA",NA,"CLIC4","IQGAP1","GSTK1","GM14548","PRKCH","RNPEP","CDKN2D","FAM78B","GTF2I","CALU","ARHGAP24","TNFRSF1A","DDX58"
"702","PDLIM5","TCF12","ANXA5","EXOC6","GLOD4","GM6252",NA,"LAMTOR2","FAM134B","SLCO2B1","RGL1","TCF12","EIF3E","HIP1","LUC7L3","LGALS1","PRDX3","FAM49A","GPR146","ODC1"
"703","POLR2B","CTSS","DHX40","PFKP","HAMP","RBM38",NA,"TCF12","GPR18","TAGLN2","CTLA2B","TPP1","MX2","HSH2D","NEURL3","STAT1","VIM","SLC6A9","IMPDH1","AS3MT"
"704","BCL9","RASAL1","MAP4K4","CYP4F16","FXYD5","ZEB1",NA,"ELN","MVB12B","CD9","GM5356","DENND4A","TLR6","RBM38","OSBPL5","THOC1","LCP2","TMEM100","PARP12","PLOD2"
"705","ZCCHC11","CARD6","4932438A13RIK","EIF3E","SEMA3F","OSM",NA,"ILDR2","STARD10","TPP1","SPRYD7","ST6GAL1","ABCA3","SGMS1","TRIM12C","CARD6","LOC102631912","DTX4","TGFBR2","TRIP13"
"706","ETNK1","MAP4K5","AW112010","PECAM1","MAF","PGM2L1",NA,"UGCG","FERMT3","MANEA","CSTAD","PSD4","ABCA7","NABP1","GLG1","ARHGAP11A","FCHSD2","FADS2","GM14230","DEF6"
"707","GM2A","RAD54L","IL1B","PMEPA1","MIRA","DENND5A",NA,"TGM1","MAN1A","PPT1","DNASE2A","SLC36A1","FABP4","TNF","SCARB2","CD82","FH1","GPR4","MAP4K5","IQGAP1"
"708","PSMD11","WDR12","PLET1","GPR68","RNY1","KLHL6",NA,"ZFHX4","RNU3A","SERPINB8","EMB","TGFA","SPIC","CREG1","TMOD3","CHST10","PSMD6","B130024G19RIK","ST3GAL1","RBM38"
"709","SMARCAD1","IGLV2","SMC4","SATB1","SNORD73A","TANK",NA,"CALCRL","SPTBN1","WLS","TAOK3","GNA12","ASS1","ICOSL","MLKL","NR1D1","RNASEL","SLC5A3","ADCY7","RSL1D1"
"710","TMEM62","TCF19","LBR","NFKBIZ","ACVRL1","CD46",NA,"CTSS","GNG5","TTYH2","HHEX","NRARP","CSE1L","TCP11L2","PRMT9","CBLB","TFAM","ARHGAP20","ZSWIM6","TBC1D2B"
"711","EIF3E","LOC102638150","NOTCH1","SPIB","SLC16A1","COTL1",NA,"SNORD15B","RNF19B","HNRNPLL","LSAMP","RSL1D1","DGAT2","ADPGK","PRPS1L3","MAN1A","ITGAL","FBLN1","FAM196B","ERAP1"
"712","XYLT1","STUM","NDST2","SLC15A3","TRAF1","MARCH1",NA,"NDUFAF7","RPS5","MRPS18C","CHAF1B","CLSTN1","MOSPD2","ATP6V1B2","FAM111A","GPR132","RNU73B","CALU","PRAG1","MIS18A"
"713","ZFP36","ZC3H12C","SNORD35B","SPOP","CDKN1A","RPTOR",NA,"EDA2R","LOC102640277","FAM135A","GM9001","FKBP9","WDR43","SEMA7A","SRPK2","NBEAL2","CRLF3","DLK1","D16ERTD472E","SELENOW"
