"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"1393",NA,NA,"C21ORF91",NA,"PPIB","ACTR3B","TTC19","LDHB","TUBG1","RASIP1",NA,"CDK9","CCR5",NA,"TSC22D1",NA,"SPRED3",NA,"CPNE2","SLC25A21",NA,"PRKAR2B",NA,"BTG3","PNPLA4","FBXL5","HYOU1","FANCE",NA,"NCAPH","AMIGO3",NA,"PPP1R13B","CDK2AP1",NA,NA,NA,"FZD8","SEC61B","PA2G4"
"1394",NA,NA,"LST1",NA,"ZNF408","BAIAP3","MX1","LIMA1","UTP14C","TCF12",NA,"CNDP2","DENR",NA,"VAPA",NA,"ACPP",NA,"HIST1H3A","NDUFS4",NA,"RNF44",NA,"HIBCH","TUFM","SLFN5","IFIT3","LSM2",NA,"PHLDA2","MANF",NA,"SRSF2","HOXC8",NA,NA,NA,"HBS1L","VPS28","RHOQ"
"1395",NA,NA,"RAB8B",NA,"ATM","INHBA","ZNF300","TTC9C","ESF1","HRAS",NA,"TMEM30B","GNL3",NA,"ITM2C",NA,"C8ORF59",NA,"ST13","SLC1A1",NA,"SDCBP",NA,"NOTUM","EFNA4","TMEM189","NOP16","LYSMD2",NA,"REPS1","C17ORF75",NA,"STAG3L4","PGD",NA,NA,NA,"IARS","ATP5L","VWCE"
"1396",NA,NA,"TRRAP",NA,"CLTC","NAV2","C11ORF71","GLS","IREB2","WASF1",NA,"TXNRD2","GOLGA4",NA,"PLEKHA4",NA,"PLEKHN1",NA,"TCF12","CREG1",NA,"TRMT1",NA,"PLCB4","GRAMD1A","TUBA4B","RFC3","MBNL1",NA,"TOM1L1","CCDC112",NA,"ZNF44","PON2",NA,NA,NA,"IFI27L1","HAUS3","CTSF"
"1397",NA,NA,"UTP3",NA,"PSMB10","SMARCA2","ERGIC1","IRF9","MRPL37","ATG4A",NA,"ACTA2","HARS",NA,"STMN2",NA,"AP2S1",NA,"ZNF350","KRTCAP3",NA,"BCKDK",NA,"SLC16A10","KAAG1","ZNF581","RFC4","NHP2",NA,"RFXAP","SS18L2",NA,"MRPL45","SERPINA3",NA,NA,NA,"NES","NLGN2","CTSO"
"1398",NA,NA,"CARD8",NA,"ZNF33B","GLO1","NAP1L2","MTCH1","NRM","CDK4",NA,"GLTP","OSGIN1",NA,"BOK",NA,"CMTM6",NA,"C6ORF48","MRPL13",NA,"HIPK4",NA,"XRCC5","RAP1GAP","ACP2","STAC","RENBP",NA,"SS18L2","STMN4",NA,"TRIM38","PRPH",NA,NA,NA,"RPL23AP32","SMAGP","GAL3ST4"
"1399",NA,NA,"CDC23",NA,"DEFB124","SF3B5","SCCPDH","NAT1","UBQLN2","GLUD2",NA,"SCAMP4","WSB1",NA,"CPT1C",NA,"GALNT12",NA,"DPAGT1","SYTL2",NA,"NAGLU",NA,"DHX33","RNF166","CAMK1","AP2M1","ATP6V0C",NA,"APBA2","ZDHHC23",NA,"CCDC60","ANKRA2",NA,NA,NA,"SLTM","SNRNP200","MZT2A"
"1400",NA,NA,"TGIF2",NA,"KRT10","SLC41A2","SPRR4","NDUFB3","ZSWIM5","MPHOSPH6",NA,"ZNF750","AKT1",NA,"DENND3",NA,"MRPL47",NA,"LDOC1","ABL1",NA,"PEX12",NA,"GCLC","SH3BP2","CHCHD2","AVEN","BCL9",NA,"GNAZ","ZNF513",NA,"DICER1","ARRDC2",NA,NA,NA,"SNORA64","CEP95","PNPLA8"
"1401",NA,NA,"ACYP1",NA,"SEC61B","STAT6","SPTAN1","SEC61B","ACTR3B","C17ORF58",NA,"FAM124B","CCDC88B",NA,"MBNL2",NA,"PRPF8",NA,"MAN2C1","CCDC60",NA,"TSTD1",NA,"RUNX3","TMEM160","HPCAL1","PGD","DPM1",NA,"STXBP6","SEC61B",NA,"FUBP1","CHMP4B",NA,NA,NA,"CD55","DOLPP1","USH1G"
"1402",NA,NA,"ANXA11",NA,"STAG2","KLF9","ACAT2","SOCS2","BNC2","DCDC2B",NA,"GPR160","ECH1",NA,"RAB6A",NA,"AGRN",NA,"ASNA1","CDCA3",NA,"CLN6",NA,"TRAF3IP3","ADCYAP1","LSM6","BHLHB9","SLC25A6",NA,"USP54","AP1G2",NA,"INPP5E","IGF2BP3",NA,NA,NA,"LHFPL2","IRF9","UBQLN2"
"1403",NA,NA,"MMADHC",NA,"TMEM216","NGF","ATP6V0A2","TMEM205","RUVBL1","GBGT1",NA,"HOXB9","MPHOSPH9",NA,"SNX18",NA,"ALDH5A1",NA,"NNT","CTSZ",NA,"HBEGF",NA,"YDJC","BCL9","SPRR4","HNRNPH1","MRPL14",NA,"FRMD6","NDUFS8",NA,"ITGAV","IL10RB",NA,NA,NA,"MEX3A","PDCD7","ANKRD53"
"1404",NA,NA,"OSTC",NA,"TPCN1","PDK4","NDUFS7","ABR","CCDC60","GTF2IRD1",NA,"PLOD1","MYL10",NA,"CACNA1A",NA,"FRMD4B",NA,"PLD4","GPX3",NA,"MRPS17",NA,"DDX39A","CCDC8","AATK","ICAM3","TADA2B",NA,"FZD1","POLG2",NA,"LUC7L3","KPNA4",NA,NA,NA,"NRIP3","STAC2","MOK"
"1405",NA,NA,"PARP14",NA,"CCNF","REC8","SGK1","MFSD6","RANBP6","SCARB2",NA,"ARVCF","NCOA6",NA,"ZNHIT1",NA,"PPIL1",NA,"ABCE1","HSPA1B",NA,"TSPAN32",NA,"DPP7","COX5A","BIRC3","PNMAL1","SLC16A6",NA,"SLC26A11","SIRT7",NA,"B4GALT6","PFN1",NA,NA,NA,"TOMM7","TSEN2","PLOD1"
"1406",NA,NA,"PTCRA",NA,"CHCHD5","STXBP1","SLC22A15","MGAT1","SLC1A6","USF2",NA,"CEBPB","SCARNA17",NA,"BMP1",NA,"RRN3P2",NA,"HDLBP","JUP",NA,"IFNGR1",NA,"MORC3","DYNC1I2","BNIP3L","RRBP1","ASB13",NA,"BCL2L12","SULT1A1",NA,"GRAP2","SAP25",NA,NA,NA,"ATP6V0C","C2ORF40","UTP14C"
"1407",NA,NA,"RBM42",NA,"R3HDM2","LIMS2","ACOX2","C11ORF16","ADNP2","FOXP1",NA,"OAS2","TMEM214",NA,"C1ORF21",NA,"TRADD",NA,"KIF9","NCAPD2",NA,"ST6GALNAC2",NA,"NCK2","NOTCH2","DNAJC1","DCLRE1B","BTAF1",NA,"CD81","FZD2",NA,"HIST1H4C","SLC37A3",NA,NA,NA,"CDKN2B","C6ORF136","ABHD14B"
"1408",NA,NA,"TRMT11",NA,"ZNF266","NLGN2","NME7","ENOPH1","ATAD3B","KRTAP3-1",NA,"PLTP","DNAJC30",NA,"HIST1H1D",NA,"CD58",NA,"SCD","PIM1",NA,"TAF1D",NA,"SMARCA4","SREBF1","BACH1","ISCA2","HLA-E",NA,"GDAP1","LGI1",NA,"MALT1","DCUN1D3",NA,NA,NA,"HDAC9","KCTD18","ADAP1"
"1409",NA,NA,"ZNF721",NA,"HSD17B8","RPL36","NPB","RPL23","PPIP5K2","QSOX1",NA,"RAPGEF3","LINC00523",NA,"HMGB1",NA,"LILRB4",NA,"TBC1D9B","POLD4",NA,"TSSK3",NA,"TUBB","GADD45A","BCL9","PARP2","NCL",NA,"KLHDC8B","NT5DC1",NA,"SNF8","PHACTR2",NA,NA,NA,"NAT14","MTHFD2","AIF1"
"1410",NA,NA,"DAAM1",NA,"IREB2","SUMF1","RBMX","ACBD5","REC8","RAB8B",NA,"SCD5","RANBP6",NA,"ATN1",NA,"MAML1",NA,"U2AF1L4","TMEM14A",NA,"ZNF593",NA,"CSRP1","MGMT","FUCA2","SRP68","RAP1GAP2",NA,"NINL","NT5DC3",NA,"SPCS1","TMTC1",NA,NA,NA,"TBC1D23","PRPF31","CWC15"
"1411",NA,NA,"GNPDA2",NA,"IRF2BPL","VPS26A","RSAD2","AKIP1","SEPHS2","RANBP6",NA,"USP53","TSPAN7",NA,"U2AF2",NA,"MYO15B",NA,"APOO","UTP14C",NA,"AMPD3",NA,"FTH1","SH2D3A","SEMA6C","CDHR2","RYBP",NA,"PAXIP1","PRMT3",NA,"HLA-DQA1","SKAP2",NA,NA,NA,"MYO18B","MDS2","FCHO1"
"1412",NA,NA,"H2AFZ",NA,"RAB8A","ZFYVE21","SULT1A2","ARNTL","HNRNPA2B1","TK1",NA,"DAPK3","ADNP2",NA,"BAG2",NA,"NOC3L",NA,"CCT7","GALR3",NA,"CMC1",NA,"PFDN5","SUN2","TSHZ3","CDO1","TMED2",NA,"TSPAN5","SLC5A5",NA,"PTPN1","SOCS5",NA,NA,NA,"OGN","PCBP4","FGFR1"
"1413",NA,NA,"KLHL5",NA,"FIS1","EPHX1","AKR7A2","DENND1B","NPB","CCDC88B",NA,"FKBP1A","LUC7L3",NA,"CERS4",NA,"SLC27A2",NA,"DOCK11","GGH",NA,"CPNE2",NA,"PRDX3","TMEM51","VPS37C","PHF19","AP1M1",NA,"TUSC1","BAG4",NA,"RPL35A","CARD10",NA,NA,NA,"STAG2","TRMT112","B3GNT3"
"1414",NA,NA,"MAPK3",NA,"GLRX2","ING2","EMCN","MORC2-AS1","RBX1","PRAF2",NA,"FKBP5","SPDEF",NA,"COPG1",NA,"GOLGA8A",NA,"PGM1","MAFF",NA,"NOTUM",NA,"TCF12","ZNF506","GNPDA1","PSD3","C14ORF166",NA,"ZNF260","C1ORF122",NA,"DNMT1","LRRC8D",NA,NA,NA,"TACC3","METTL17","CCDC112"
"1415",NA,NA,"PANK4",NA,"N6AMT1","KCNS1","HIST1H2BK","PSAP","RPLP2","RGS19",NA,"LY6E","GPR153",NA,"FAM126A",NA,"LAMTOR2",NA,"PRKCQ","SPATA20",NA,"SEC61B",NA,"ZNF507","ARHGAP21","GRB2","SEC61A1","FBXO6",NA,"ATP1B2","CDC14B",NA,"DRAP1","RAX2",NA,NA,NA,"ZEB2","MTX3","CD59"
"1416",NA,NA,"PTGER1",NA,"SFN","TRIM59","MRPS33","CST4","CHSY1","CANT1",NA,"PICALM","IQCC",NA,"ARSJ",NA,"MT1X",NA,"TBCA","UTP6",NA,"SULF2",NA,"ABCC5","DFNA5","MOB3A","WDR12","FZD6",NA,"EPHA7","CETN2",NA,"TYW3","ZHX2",NA,NA,NA,"FSTL3","PARP16","RBX1"
"1417",NA,NA,"RPS19",NA,"UBR3","TSPYL4","PTCRA","CTSA","HIPK4","CCNA1",NA,"TUFT1","MRPL42",NA,"CSRP2",NA,"PCCB",NA,"TMC8","ZNF185",NA,"CTRB2",NA,"ACTG1","SLC16A1","NMB","GRK5","RPP40",NA,"MIR205HG","GDF15",NA,"IL34","CHPT1",NA,NA,NA,"POLE2","USH1G","SNAI1"
"1418",NA,NA,"TAF1A",NA,"ALPPL2","GUSB","TIGD1","SLCO4A1","PF4","MAT2B",NA,"AVPI1","NAPB",NA,"CTNNAL1",NA,"PPP1R27",NA,"GSN","CNN2",NA,"HNRNPUL2",NA,"AVPI1","SMAD3","MAP3K10","STARD4","GALR3",NA,"MYOF","ITPA",NA,"MED19","EFR3A",NA,NA,NA,"SLC9A3R2","ZEB1","BLOC1S1"
"1419",NA,NA,"HNRNPA3",NA,"HADH","KCNT2","ACP5","UBE2E1","STEAP2","SSTR3",NA,"CLK3","PSMD5",NA,"ELOVL5",NA,"SLC7A5",NA,"ISY1","COG7",NA,"SLC38A1",NA,"BEX5","WNT2B","METTL5","ACBD6","OTUD1",NA,"RFC5","PRMT6",NA,"MOAP1","LRCH2",NA,NA,NA,"XRCC2","HNRNPUL2","CACNG7"
"1420",NA,NA,"HSH2D",NA,"HPS4","RNF11","CALHM2","CST3","TMEM160","FAM127A",NA,"EFEMP2","RAF1",NA,"ETV1",NA,"THOP1",NA,"PCCB","CYP2A6",NA,"MED6",NA,"TUBG1","PEAR1","PRPF4B","SEMA5B","PLEKHM1",NA,"SLC2A10","RBBP4",NA,"NUDT15","SDS",NA,NA,NA,"CHCHD10","RANBP6","FAM155A"
"1421",NA,NA,"LEMD3",NA,"NOP10","SRSF9","CD55","CYP51A1","ZNF93","MRPL38",NA,"CD93","SLC5A5",NA,"HCFC1",NA,"CBFB",NA,"CD58","PIR",NA,"NDUFS6",NA,"EME1","SIGIRR","RTP4","BICC1","PSMC3",NA,"CDH3","SMARCA4",NA,"PRPF31","TIMMDC1",NA,NA,NA,"KIAA0101","TXLNA","NEDD4"
"1422",NA,NA,"MRPL38",NA,"PSMC4","C20ORF203","HMOX1","MFSD2A","ZNRF3","RAP1GAP",NA,"CLDN3","WDR34",NA,"LZTS2",NA,"CECR6",NA,"CHMP4A","SLC1A5",NA,"RNF11",NA,"NGLY1","SLC7A1","TM9SF4","C4ORF46","ASF1B",NA,"DBI","UBR3",NA,"RASSF4","CDKN2B",NA,NA,NA,"PSPH","GLIPR2","RCBTB2"
"1423",NA,NA,"MRPL47",NA,"C19ORF54","ERG","MRPS27","TRIM38","EID2","WFIKKN1",NA,"GRB10","DHX15",NA,"RASL11A",NA,"DPCD",NA,"HIST1H3C","TRAPPC6A",NA,"SGSH",NA,"PER1","A4GALT","HIST1H2BK","ITGA6","CSK",NA,"DDHD2","COL6A3",NA,"TNFAIP8L1","COTL1",NA,NA,NA,"SATB2","KIF2A","ARHGEF16"
"1424",NA,NA,"NUP62",NA,"PIM3","SOX4","BID","TSSK3","KNTC1","ZDHHC2",NA,"HSPA5","ERN2",NA,"TPGS2",NA,"MPI",NA,"MAFF","VPS26A",NA,"TDRD3",NA,"RAB8A","CRYZ","KIAA0922","MYL10","MUS81",NA,"PLXNB2","NDUFB3",NA,"ATP2A3","FOSB",NA,NA,NA,"TCF12","NOG","C16ORF45"
"1425",NA,NA,"RAB8A",NA,"UNC13B","VGLL4","PON2","ZNF217","VEZT","C1ORF186",NA,"RPL8","EXOSC8",NA,"AGRN",NA,"GUCY1B3",NA,"CWC27","TRAP1",NA,"TMEM14C",NA,"SRSF3","RNF26","SPOPL","PNN","NEDD4",NA,"PPP2R2B","NELL1",NA,"RING1","MAML1",NA,NA,NA,"C5ORF30","UQCRC1","CCT8"
"1426",NA,NA,"SPR",NA,"DHRS7","DBN1","RUVBL2","AVPR1B","C10ORF82","MAML1",NA,"SPIRE1","PROS1",NA,"C1ORF122",NA,"LIG1",NA,"MRPL21","TUBA4B",NA,"TMIGD2",NA,"ZNF670","CPSF1","TMEM184B","RPF2","SLC7A7",NA,"THAP9","TTC9B",NA,"COIL","MYOM1",NA,NA,NA,"GLIS3","DCLRE1C","GANAB"
"1427",NA,NA,"EIF2D",NA,"F11R","KEL","FOXO1","ETV6","EEF1D","MTHFD1",NA,"SSBP4","SEMA4B",NA,"ITPR3",NA,"GATSL2",NA,"PSMD3","ZIK1",NA,"ZNF385A",NA,"C20ORF197","ERGIC1","TRMT61A","CEACAM4","FAM117A",NA,"TMEM206","ACTR3B",NA,"FASTKD3","RHOBTB3",NA,NA,NA,"PLEKHG4","DMAP1","RALGAPA1"
"1428",NA,NA,"LRFN1",NA,"LSM4","RGMA","CHAMP1","ALG2","SVIL","NDUFA8",NA,"TMC4","SLC50A1",NA,"LRRC32",NA,"GUCY1A3",NA,"SF3A3","APEH",NA,"ADH5",NA,"REPS1","FAHD1","TSEN34","MOK","RASSF1",NA,"ARID1A","APPL2",NA,"IFIT2","RNF121",NA,NA,NA,"MDFIC","FBXO46","CALU"
"1429",NA,NA,"PUF60",NA,"MRPL38","AATK","CNKSR3","ARHGEF18","GLTSCR2","SLC25A43",NA,"ARHGAP18","E2F7",NA,"CENPM",NA,"PAK1",NA,"ZNF766","LINC00526",NA,"MOSPD1",NA,"ZFP36L2","PARVA","ZNF217","PPIL1","WDR31",NA,"NASP","GPC6",NA,"REEP4","USP14",NA,NA,NA,"PLXNC1","GMCL1","KIF12"
"1430",NA,NA,"TMEM223",NA,"HLA-G","IRS2","GBP2","CLSTN1","ITM2C","TM2D2",NA,"CLDN16","IMPDH2",NA,"GAPDH",NA,"GADD45GIP1",NA,"FDPS","ME1",NA,"CYP51A1",NA,"C11ORF71","TPD52","DDOST","ASF1A","ANAPC13",NA,"SLC39A6","TIMM13",NA,"TIAM1","CAPS",NA,NA,NA,"BZW2","MAGEE1","PDZD11"
"1431",NA,NA,"VGLL4",NA,"SLC16A1","MANF","NIPSNAP3A","EIF1AY","LRP8","H2AFZ",NA,"CORO1B","SAP25",NA,"KCNG1",NA,"MKKS",NA,"ITGA2B","ZMYND19",NA,"SLC19A2",NA,"NFKBIZ","CEBPD","M6PR","FASTKD1","HMBS",NA,"C14ORF166","ZNF44",NA,"EID2B","HNRNPUL2",NA,NA,NA,"CYP19A1","PXN","ARMCX3"
"1432",NA,NA,"IMPDH2",NA,"AMPD2","BTBD6","PRKCH","LMNA","RAB3B","PARVG",NA,"ESAM","UBAP2L",NA,"PCDHGA11",NA,"MRPL13",NA,"SIAE","ALCAM",NA,"VWA5A",NA,"PIGP","DPP9","VPS45","GALNT7","MED30",NA,"CHAC2","BAZ2B",NA,"FAM96B","ATIC",NA,NA,NA,"MMP3","SEPW1","FANK1"
"1433",NA,NA,"KHNYN",NA,"HMX1","FNDC4","TRIM24","LYL1","TGFBI","ZC3HC1",NA,"PHACTR2","ACOT13",NA,"RBBP4",NA,"NOP16",NA,"SPCS1","C1ORF61",NA,"IKZF1",NA,"UBXN2A","FOS","WDR31","HEPH","SPTAN1",NA,"PTTG3P","EFNA1",NA,"NAE1","CALU",NA,NA,NA,"PGM3","UNG","HILPDA"
"1434",NA,NA,"MRPL51",NA,"NUCB2","KDELC2","TRUB2","RIT1","TRAP1","AP1S2",NA,"CRTAP","HSD17B8",NA,"SSR3",NA,"PTPRJ",NA,"SRSF6","EFEMP1",NA,"NDUFA12",NA,"ZDHHC7","NDUFAF3","SNX30","MRPL37","TMEM206",NA,"SNRPB2","ENO3",NA,"NPB","EGFLAM",NA,NA,NA,"ST8SIA4","B2M","MYH10"
"1435",NA,NA,"FOXP1",NA,"TAF5","KRAS","DDAH2","SFT2D2","CHAC2","CALM1",NA,"FGD4","PAQR8",NA,"UQCRB",NA,"SYNGR1",NA,"DENND5A","HSPA9",NA,"PARVB",NA,"AP2A2","NRM","TRIM38","AP2S1","C21ORF59",NA,"TARDBP","PRKDC",NA,"CD46","GPT",NA,NA,NA,"FER1L4","CD70","ATIC"
"1436",NA,NA,"HMBS",NA,"CDKN1B","RGL1","IL34","HIPK4","MRPL12","GLIPR2",NA,"KIF1C","PSMC3IP",NA,"CDCA5",NA,"TMEM200A",NA,"HIST1H2BG","IRX1",NA,"PPARD",NA,"CDC37","PDLIM1","GAMT","CAMK2D","SEC61G",NA,"ZNF618","CSRP1",NA,"CD99P1","UPF2",NA,NA,NA,"GADD45A","DCTN3","CACNA1A"
"1437",NA,NA,"SNRK",NA,"ESYT2","SLC26A11","ZEB1-AS1","MRPL37","N4BP2","GUK1",NA,"PRR5L","TIMM10",NA,"DNM3OS",NA,"CHMP2A",NA,"SNHG10","NID2",NA,"PTPMT1",NA,"FANCD2","SYNGR2","ALG3","H2AFZ","C5ORF15",NA,NA,"HNRNPM",NA,"GLIPR1","APOLD1",NA,NA,NA,"SH3BP1","FAM118A","CACNA2D1"
"1438",NA,NA,"SPEN",NA,"MMS19","CD68","NEFH","PICALM","PNMA6A","HPCA",NA,"PSMB5","VBP1",NA,"HS3ST3B1",NA,"NYNRIN",NA,"TPRKB","SRP14",NA,"SPDEF",NA,"RALY","CALU","EGR2","HLA-A","FRMD3",NA,NA,"NXNL1",NA,"SART1","C10ORF54",NA,NA,NA,"MAPK10","GPATCH4","PTGER1"
"1439",NA,NA,"STK19",NA,"DHX33","DLL4","NLRC5","RAB42","RFWD3","IGF2R",NA,"VWF","DDX17",NA,"NHP2",NA,"SOAT1",NA,"NUDT5","ARHGEF18",NA,"TLN1",NA,"YLPM1","CARHSP1","FRY","MME","IMP3",NA,NA,"SIPA1",NA,"TRMT61B","NAV1",NA,NA,NA,"PPA2","NHP2","PTOV1"
"1440",NA,NA,"GORAB",NA,"ESYT1","PTH2","PQLC1","RBPJ","SUPT3H","MAN2B2",NA,"C3ORF52","FUBP1",NA,"KANSL1-AS1",NA,"SPI1",NA,"OSBPL1A","DLST",NA,"TSPAN17",NA,"EIF2B3","FBXW5","MBOAT1","RPL23","INTS3",NA,NA,"TSPAN3",NA,"CHST11","UHRF2",NA,NA,NA,"SLC39A6","PIGK","TSC2"
"1441",NA,NA,"MRPL27",NA,"LRBA","ADAMTSL4","TMEM170B","AP2A2","TARS","PSAT1",NA,"HYI","GEMIN2",NA,"OPTN",NA,"C11ORF74",NA,"RPUSD4","COCH",NA,"MGAT1",NA,"KIAA1522","KIF23","ARHGAP26","AP1S2","TMIGD2",NA,NA,"COMT",NA,"HELZ","XRCC2",NA,NA,NA,"ARHGDIA","ACSL6","KLK14"
"1442",NA,NA,"TIMM10",NA,"PPID","GPR176","DAP","CD38","FABP7","WSB2",NA,"IFI27L2","MRPL1",NA,"PLCD3",NA,"C20ORF197",NA,"SSSCA1","DPY19L3",NA,"NAGA",NA,"NDUFAB1","RBMS3","FBXO30","BTBD6","HIF1A",NA,NA,"OLFML3",NA,"NDUFS6","GLO1",NA,NA,NA,"GALNT13","CAT","NDUFV3"
"1443",NA,NA,"TRIM44",NA,"SCARB2","LSM10","GNL3","MLLT6","FBLL1","ARF4",NA,"IL32","ZNF137P",NA,"SPG20",NA,"IARS",NA,"LILRB2","NKAIN1",NA,"STARD8",NA,"U2SURP","SMAD7","ADAM9","FAM47C","IFFO1",NA,NA,"SAP25",NA,"TESK1","NXNL1",NA,NA,NA,"LINGO3","MRPS31","PLEK2"
"1444",NA,NA,"CYP2A6",NA,"VPS37C","OXA1L","RAB9B","DGKZ","PCOLCE2","RALB",NA,"NFKBIE","ZNF444",NA,"TSHZ2",NA,"ZFP36L2",NA,"NIN","PPP4C",NA,"BLVRA",NA,"VSTM1","SNRNP70","ARF6","ID4","PET117",NA,NA,"MECR",NA,"TNKS2","SLC25A26",NA,NA,NA,"CCNB2","ZNFX1","CLIP4"
"1445",NA,NA,"NR1D1",NA,"ANKRD33B","TNNI3","USP11","HRH1","ANKHD1","SNCB",NA,"OBFC1","MSL2",NA,"FDPS",NA,"HAUS4",NA,"CPSF6","SERBP1",NA,"CAD",NA,"WDR18","AK2","GLUL","MIR31HG","ZNF280D",NA,NA,"NEU4",NA,"CCND3","STAU1",NA,NA,NA,"CETN3","EIF1","COPS5"
"1446",NA,NA,"STARD4",NA,"DCAF13","AHRR","IGFBP6","PDGFB","KIF1B","CDH2",NA,"OPTN","PPM1G",NA,"MYD88",NA,"POLR1E",NA,"CTSD","USP53",NA,"CDA",NA,"CTNNBL1","FBXL18","GZMB","RPL8","CES2",NA,NA,"TNKS2",NA,"CNTRL","ZBTB8A",NA,NA,NA,"CRELD2","IFIT5","SLC1A5"
"1447",NA,NA,"WDR92",NA,"DHX15","C14ORF166","PCNA","TBC1D4","PTOV1","HRH3",NA,"SLFN11","GDE1",NA,"SLC39A14",NA,"PTGER1",NA,"GABARAPL2","VBP1",NA,"CLN5",NA,"NOP16","MAL","MRC2","YIF1A","DLL4",NA,NA,"WBSCR22",NA,"GTF3A","CCDC88B",NA,NA,NA,"DDIT4","KHNYN","SLC26A11"
"1448",NA,NA,"ZBTB38",NA,"DOK2","SHOX2","ZNF573","GTF2IRD1","RBPJ","MPZL2",NA,"CCDC50","NUP62",NA,"SPATS2L",NA,"TUBA1C",NA,"MAP3K11","ZNF766",NA,"DUSP3",NA,"PGLS","MCM4","NR3C1","FAM13B","RAB9A",NA,NA,"FAM167A",NA,"MRPL34","CDR2",NA,NA,NA,"HTR7","TIMMDC1","ZNF135"
"1449",NA,NA,"DECR1",NA,"ECT2","CACNG4","BAIAP3","SLC26A6","ST14","NDRG1",NA,"FBLN1","STAC2",NA,"TNS3",NA,"DPAGT1",NA,"MRPL11","ACPT",NA,"ARL15",NA,"SF3A3","NEK6","PHLDA2","ITGA5","SMC2",NA,NA,"FOXP1",NA,"NACA","CMC1",NA,NA,NA,"MARVELD1","TRMT11","DDAH1"
"1450",NA,NA,"GUK1",NA,"TRRAP","EGR1","DYNLL1",NA,"TMEM200B","DUSP14",NA,"MAD2L1","MRPL22",NA,"DLGAP5",NA,"FPR1",NA,"SVOPL","GPR143",NA,"MDH1",NA,"KIF2C","HN1L","RP2","MRC2","SP140L",NA,NA,"GNAS",NA,"RCBTB2","FARSB",NA,NA,NA,"NTF3","ZC3HC1","GDE1"
"1451",NA,NA,"PRPSAP2",NA,"TTC8","MOXD1","GNB5",NA,"ANKRD10","HSBP1",NA,"NFKBIZ","NUP35",NA,"ECHDC3",NA,"SULT1A2",NA,"TAL1","HNRNPUL2",NA,"NAGK",NA,"MRPL47","ME3","ASRGL1","PLD3","DUSP12",NA,NA,"IRAK1BP1",NA,"STX1A","NUDT19",NA,NA,NA,"PDGFD","CD38","LMO2"
"1452",NA,NA,"SLPI",NA,"TTC7B","PMS2P1","IFNAR2",NA,"PLEKHG4","LAMP1",NA,"RAB27B","UBE2NL",NA,"F2RL2",NA,"TRAPPC5",NA,"TCTN3","ZNF644",NA,"SPRR4",NA,"SLC22A5","ZNF414","CHST11","PSPH","GRAMD1B",NA,NA,"NECAB2",NA,"SEC61A1","SERP2",NA,NA,NA,"PIGP","LACTB2","PPP1R11"
"1453",NA,NA,"AHR",NA,"CD38","POM121L12","REPS1",NA,"WFDC2","PLIN5",NA,"BIN1","BAP1",NA,"MRPL4",NA,"ARVCF",NA,"ACSL5","DDOST",NA,"TP53I3",NA,"CORO1C","C3ORF52","CPNE2","SPRR4","STK19",NA,NA,"PTRH2",NA,"SESTD1","SPATA18",NA,NA,NA,"PTGES","NEDD9","DUS1L"
"1454",NA,NA,"CHAC2",NA,"DHX9","SNRPA","WASF3",NA,"GPR176","RAP1GDS1",NA,"CCDC68","BRPF1",NA,"PRAF2",NA,"CDC37",NA,"FAM107B","MZT2B",NA,"DOCK11",NA,"IFRD2","DAPK3","DENR","SYNJ2","ARRB2",NA,NA,"SGSM2",NA,"TULP4","BAIAP2L1",NA,NA,NA,"SULT1B1","STX1A","KDSR"
"1455",NA,NA,"IRF3",NA,"PFDN5","C9ORF163","HIST1H3D",NA,"THUMPD3","STARD3NL",NA,"DHRS2","GMFG",NA,"SCARB2",NA,"NET1",NA,"NDUFAF4","NUP37",NA,"EHBP1L1",NA,"NQO2","PPP1CA","DNPEP","TNFAIP8","CD74",NA,NA,"ARL5B",NA,"CHSY1","CNN1",NA,NA,NA,"ANGPT1","ANAPC13","POLR3K"
"1456",NA,NA,"IRF9",NA,"SLC35A4","AKR1B1","LRBA",NA,"TMEM126B","UQCRC1",NA,"DUSP6","HNRNPAB",NA,"SMARCA1",NA,"PPAT",NA,"NIPSNAP3B","UQCRC1",NA,"NETO2",NA,"POGK","WDR83OS","DUSP3","TUBB4B","CTDSPL",NA,NA,"CITED1",NA,"PALLD","F8",NA,NA,NA,"IL1RL1","BRD1","CAMLG"
"1457",NA,NA,"KLHL29",NA,"GABRR2","BARHL1","RUVBL1",NA,"CDCA2","ARNTL2",NA,"FAS","NCOA2",NA,"APBB2",NA,"CCT3",NA,"SEC24D","GPC6",NA,"SLC38A7",NA,"SQRDL","WIZ","RELA","CDCA7L","CXCL6",NA,NA,"SNAPC2",NA,"SH2B2","KIR2DL3",NA,NA,NA,"PDGFRL","GYPC","RPL8"
