"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"43","GLUL","ZIC1","SPIB","PF4","ALDH1A1","ECM2","CD52","CD274","DSP","SOX7","ITGB2","RAB25","ANK1","DCUN1D1","THY1","C4ORF47","PLD4","ITIH2","NACA","SCG3","ARG1","IFI30","HIST1H2BB","GNA15","HIST1H1B","GIMAP4","SERPINE1","FGR","COL6A1","LIX1","ZBTB8A","SNORA74A","CYTIP","IGFBP3","COL5A1","GNG11","ATP2A1","DKK3","ITGAL","DSP"
"44","CD36","NDP","CD72","HBG2","ANKLE1","MXRA5","TNFSF13B","CD1C","SALL1","ICAM2","S100A8","SCARNA2","CYTL1","RPS27A","MXRA8","PDE9A","CYTL1","CYP2E1","HLA-DPB1","CSRP2","DSG3","SLC7A7","GPR143","AZU1","TINAGL1","LY86","MRGPRF","CSTA","NES","COL3A1","PFN2","GBP5","ZNF600","KRT14","IL6ST","FRMD3","MYF6","CTGF","SPOCK2","COL4A1"
"45","PCK1","LRRN3","FCRL3","ELANE","HMBS","COL5A2","GUSBP11","GGTA1P","GJA1","CAV2","ANKRD13D","CLDN4","APOBEC3B","TPM3","RPL13","NLRP2","HLA-DRA","CFHR2","ITM2A","VASH2","NCCRP1","RNASE6","TBC1D16","P2RX5","HIST1H1E","IFI30","TGFB1I1","LST1","COL4A1","PEG10","NBEA","NAMPT","CD48","LOX","HIST1H2BO","CXCL5","H19","ACTA2","LAT","CTGF"
"46","MCAM","PROM1","MZB1","VPREB1","HIST1H1D","PCOLCE","NOG","CCR5","KRT19","NOX4","C10ORF54","FXYD3","FHDC1","HPGD","COL5A2","RADIL","GAPT","PON3","SERPINB1","HSPA2","CLCA2","LILRB1","GPNMB","GBGT1","PDLIM7","HLA-DRB1","COL12A1","SERPINB10","FAP","FBN2","DKK1","SELL","ITGB2","CYP1B1","IL24","GMPR","FHL1","PRRX1","RHOH","IGFBP4"
"47","EFEMP1","SPARCL1","NLRC3","GYPA","MT1X","ELN","DEPTOR","CCL26","ZNF423","SDPR","MYO1F","CSTA","GYPE","ICAM4","IGFBP6","FAM81B","NAPSB","HSD17B6","MAP3K8","NAP1L3","ELMOD1","APOE","IFI27","ANKLE1","PTMA","C1ORF162","GPX8","FCAR","EEF1A1","CAPN6","CTNNA2","TLR8","PLAC8","C11ORF96","HIST1H3C","PKHD1L1","TPM2","RND3","RARRES3","COMP"
"48","PPARG","KIF5C","P2RY8","FPR1","DLGAP5","FOXD1","HLA-DRA","GPNMB","SOX11","CYR61","HSH2D","CD24","SLC25A37","MALAT1","THBS2","MOS","HLA-DPA1","ARG1","HBB","MFAP2","C10ORF99","MS4A7","NNMT","ITM2A","LAMA5","HLA-DRA","VEGFC","ITGAM","SPARC","TTYH1","LAMB1","ORM1","CD8A","DACT1","TNFRSF11B","GNAZ","ANKRD23","PPP1R3C","SAMD3","COL6A2"
"49","COL6A1","SOX8","CD48","PLBD1","GINS1","OMD","GNA15","LYZ","CYP26A1","GDF15","ITGAM","S100A9","MT1X","RPL13","LOX","WFDC2","CLDN10","SLC22A1","HLA-DPA1","ZNF423","SPINK7","C1QC","TPM4","LMO2","COL6A3","HLA-DPA1","TMSB15A","ORM1","KCNE4","PROM1","ISL1","RGL4","CLIC3","RCAN2","FGF7","IPCEF1","TRDN","CCND1","MAL","IGFBP6"
"50","PTMA","DNER","ISG20","LYZ","SLC40A1","CDH11","CPXM1","HLA-DRB1","GLDC","MMRN2","PSTPIP1","ITGA3","DLGAP5","SKP1","FAP","IGSF11","LAT2","HP","IL2RG","CYR61","CARD18","PLBD1","OAS1","MAP7","CTGF","MAFB","AMIGO2","CLEC12A","CTGF","SALL1","IGF2BP3","CLEC4D","PRKCH","FAP","HIST1H3B","RASGRP1","HFE2","MMP2","CLEC2D","MMP2"
"51","CALCRL","TMEM158","HLA-DQB1","HP","NMU","CYR61","BEX2","TMEM176B","CTGF","THBS1","PLCG2","IFI27","GATA1","HBE1","MMP2","DCAF4L1","FOSB","APCS","RPS23","SPP1","SERPINB7","HK3","HIST1H4B","POLE2","DLC1","CSF1R","COL4A1","CDA","ASB5","GPC4","DACH1","TLR4","ITGAM","STC2","NID2","NELL2","FABP3","FAP","C16ORF54","SERPINE2"
"52","COL4A1","BAALC","CD53","MS4A1","CCNE1","CHI3L1","C3ORF80","FCER1G","CSRP2","CALCRL","LYZ","RPL10","KIF4A","RPS23","FGF7","PTTG3P","HOPX","HPD","CD79B","DPYSL3","SERPINB3","PILRA","HIST1H4H","CPA3","COL1A2","CTSS","DKK1","CEBPE","IGFBP3","CSRP2","ARMCX2","CYTIP","CD96","AMIGO2","RPL13","DAPP1","ASB2","PAPPA","IPCEF1","LTBP2"
