"","p_val","avg_logFC","pct_in_cluster","pct_out_cluster","p_val_adj","avg_UMI_in_cluster","avg_UMI_out_cluster","cluster","gene"
"84",0,2.040450981,0.667,0.231,0,22.40655067,4.689845424,4,"Arg1"
"85",0,1.962214878,0.936,0.243,0,15.44575476,3.220542458,4,"Ccl9"
"86",0,1.887627802,0.951,0.435,0,13.12995868,2.818636356,4,"Ctsc"
"87",0,1.880029416,0.92,0.358,0,11.92020611,2.510138032,4,"Tgfbi"
"88",0,1.872167149,0.975,0.332,0,17.97910385,4.184384858,4,"Csf2rb"
"89",0,1.870366778,0.525,0.07,0,7.0128817,1.191554261,4,"Chil3"
"90",0,1.810652861,0.908,0.242,0,8.777604658,1.787222572,4,"Fcgr2b"
"91",0,-4.076442223,0.032,0.507,0,0.055768703,16.8114866,4,"Igfbp7"
"92",0,-4.138446244,0.017,0.428,0,0.037818342,17.27754226,4,"Col1a1"
"93",0,-4.256266939,0.023,0.418,0,0.041321587,18.89980818,4,"Col1a2"
"94",0,-4.822275968,0.027,0.507,0,0.045914507,28.59006374,4,"Sparc"
"95",0,-4.948486584,0.039,0.469,0,0.057212514,31.64413689,4,"Col3a1"
"96",0,-5.350570671,0.033,0.463,0,0.049934552,41.83950992,4,"Dcn"
"97",5.19e-283,-3.148164249,0.018,0.326,1.45e-278,0.025207044,8.088735222,4,"Bgn"
"98",1.22e-272,-4.983342215,0.066,0.398,3.42e-268,0.110528472,34.12895113,4,"Mgp"
"99",1.71e-94,-4.493434693,0.054,0.204,4.77e-90,0.104408752,23.87645351,4,"Psca"
"100",1.63e-82,-3.151629758,0.027,0.153,4.55e-78,0.070203627,8.510459725,4,"Ltf"
"101",0,2.312679606,0.791,0.223,0,11.35823087,1.487541717,5,"Cdkn2a"
"102",0,1.777576457,0.881,0.605,0,16.85129842,4.206741025,5,"Tpm1"
"103",0,1.680992359,0.561,0.056,0,2.506004023,0.093410619,5,"Hmga2"
"104",0,1.65628768,0.602,0.189,0,3.704620838,0.492561912,5,"Ccnd1"
"105",0,1.5773453,0.692,0.33,0,7.435492701,1.826716182,5,"Tpm2"
"106",1.14e-242,1.524318856,0.511,0.163,3.2e-238,3.594835801,0.59736549,5,"Cdkn2b"
"107",2.44e-68,3.508657917,0.652,0.565,6.82e-64,44.73004666,3.01781899,5,"Gm26917"
"108",1.28e-65,1.638004169,0.206,0.191,3.57e-61,60.95502578,18.90619041,5,"Psca"
"109",1.92e-52,1.57665738,0.173,0.14,5.39e-48,22.0226212,6.718512357,5,"Ltf"
"110",2.97e-14,1.618260988,0.708,0.638,8.32e-10,25.16707221,7.523344351,5,"Ecm1"
"111",0,-4.289539807,0.068,0.597,0,0.35595273,25.51701896,5,"Srgn"
"112",0,-4.373294529,0.049,0.444,0,0.220108083,24.28664069,5,"H2-Ab1"
"113",0,-4.522324743,0.194,0.544,0,0.547362707,34.55883497,5,"Cd14"
"114",0,-4.839624592,0.03,0.394,0,0.285517401,35.80867034,5,"Lyz2"
"115",0,-5.558248141,0.052,0.465,0,0.389514708,64.47304841,5,"Cd74"
"116",3.26083326255223e-322,-4.621130717,0.243,0.634,9.12968096849373e-318,3.814037969,117.4700225,5,"Cxcl2"
"117",2.57e-294,-4.912827629,0.028,0.373,7.19e-290,0.160823446,33.96831061,5,"Il1b"
"118",2.98e-294,-4.294303602,0.028,0.37,8.33e-290,0.104504448,20.67113533,5,"H2-Aa"
"119",1.85e-83,-4.448904372,0.022,0.16,5.19e-79,0.144398871,23.99373061,5,"S100a8"
"120",4.73e-66,-4.788512108,0.02,0.133,1.32e-61,0.096640443,29.30749467,5,"S100a9"
"121",0,4.48718059,0.364,0.035,0,31.8287073,0.463786806,6,"Retnla"
"122",0,3.874841405,0.947,0.045,0,17.12535666,0.23550091,6,"Fcna"
"123",0,3.825366704,0.989,0.245,0,71.76984434,4.133355287,6,"Wfdc17"
"124",0,3.599931864,0.7,0.16,0,104.2101088,7.677007966,6,"Saa3"
"125",0,3.299122571,0.718,0.083,0,13.64918869,0.488259693,6,"F13a1"
"126",0,3.252103817,0.797,0.102,0,17.64254705,0.956700923,6,"Pf4"
"127",0,3.181972359,0.537,0.067,0,11.16527357,0.340456591,6,"Prg4"
"128",0,3.035685328,0.975,0.51,0,33.63171923,3.223200601,6,"Sepp1"
"129",0,2.930594788,0.443,0.013,0,7.450791467,0.108410035,6,"Marco"
"130",0,2.832232956,0.886,0.153,0,9.276188629,0.442929104,6,"Ltc4s"
"131",0,-3.290189744,0.103,0.64,0,0.370565252,12.40742948,6,"Ly6a"
"132",0,-4.066304201,0.034,0.495,0,0.039426364,16.41298653,6,"Igfbp7"
"133",0,-4.785696511,0.036,0.495,0,0.048093882,27.90935391,6,"Sparc"
"134",0,-5.345758792,0.021,0.454,0,0.028972439,40.8444138,6,"Dcn"
"135",2.73732608677429e-315,-4.919322965,0.035,0.459,7.66396557775067e-311,0.053919148,30.89121502,6,"Col3a1"
"136",5.88e-294,-4.119437953,0.021,0.418,1.65e-289,0.027968357,16.86710277,6,"Col1a1"
"137",4.46e-284,-4.244011794,0.021,0.408,1.25e-279,0.026523276,18.45107701,6,"Col1a2"
"138",4.07e-249,-5.042580777,0.026,0.393,1.14e-244,0.041371914,33.32210615,6,"Mgp"
"139",1.57e-134,-4.597237514,0.003,0.204,4.4e-130,0.00457451,23.31579891,6,"Psca"
"140",3.78e-67,-3.164182497,0.019,0.15,1.06e-62,0.03869923,8.31115707,6,"Ltf"
"141",0,5.28932125,0.961,0.096,0,71.5546845,0.855329735,7,"Ptx3"
"142",0,4.38736783,0.957,0.128,0,40.81546331,0.998055715,7,"Tnfaip6"
"143",0,3.609772287,0.758,0.051,0,18.35953648,0.585788335,7,"Sfrp4"
"144",0,3.417665027,0.793,0.14,0,18.34262624,0.810071589,7,"Lpl"
"145",0,3.39677347,0.951,0.4,0,96.48239354,8.255406146,7,"Ccl2"
